Total	ZnA[Total]	thetaWatt[Total]	ThetaTaj[Total]	Rm[Total]	ZnA[0]	thetaWatt[0]	ThetaTaj[0]	Rm[0]	
-14.7175	-2.09964	-4.08044	-4.60517	-3.93223	-2.09964	-4.08044	-4.60517	-3.93223	
-14.0504	-2.0433	-3.32146	-4.08044	-4.60517	-2.0433	-3.32146	-4.08044	-4.60517	
-13.3734	-2.0433	-3.79424	-4.41455	-3.1213	-2.0433	-3.79424	-4.41455	-3.1213	
-13.3734	-2.0433	-3.79424	-4.41455	-3.1213	-2.0433	-3.79424	-4.41455	-3.1213	
-13.3734	-2.0433	-3.79424	-4.41455	-3.1213	-2.0433	-3.79424	-4.41455	-3.1213	
-13.3734	-2.0433	-3.79424	-4.41455	-3.1213	-2.0433	-3.79424	-4.41455	-3.1213	
-13.3734	-2.0433	-3.79424	-4.41455	-3.1213	-2.0433	-3.79424	-4.41455	-3.1213	
-13.3734	-2.0433	-3.79424	-4.41455	-3.1213	-2.0433	-3.79424	-4.41455	-3.1213	
-13.3734	-2.0433	-3.79424	-4.41455	-3.1213	-2.0433	-3.79424	-4.41455	-3.1213	
-13.3734	-2.0433	-3.79424	-4.41455	-3.1213	-2.0433	-3.79424	-4.41455	-3.1213	
-13.3734	-2.0433	-3.79424	-4.41455	-3.1213	-2.0433	-3.79424	-4.41455	-3.1213	
-13.3734	-2.0433	-3.79424	-4.41455	-3.1213	-2.0433	-3.79424	-4.41455	-3.1213	
-14.2626	-2.54593	-3.1213	-5.05146	-3.54391	-2.54593	-3.1213	-5.05146	-3.54391	
-14.0043	-1.51005	-3.66516	-4.41455	-4.41455	-1.51005	-3.66516	-4.41455	-4.41455	
-14.0043	-1.51005	-3.66516	-4.41455	-4.41455	-1.51005	-3.66516	-4.41455	-4.41455	
-14.0043	-1.51005	-3.66516	-4.41455	-4.41455	-1.51005	-3.66516	-4.41455	-4.41455	
-14.549	-1.735	-3.79424	-4.60517	-4.41455	-1.735	-3.79424	-4.60517	-4.41455	
-13.8924	-2.61867	-4.41455	-3.4296	-3.4296	-2.61867	-4.41455	-3.4296	-3.4296	
-13.8924	-2.61867	-4.41455	-3.4296	-3.4296	-2.61867	-4.41455	-3.4296	-3.4296	
-13.5068	-1.88322	-3.54391	-4.41455	-3.66516	-1.88322	-3.54391	-4.41455	-3.66516	
-13.3947	-1.64196	-3.79424	-4.41455	-3.54391	-1.64196	-3.79424	-4.41455	-3.54391	
-13.7698	-2.47575	-3.93223	-3.93223	-3.4296	-2.47575	-3.93223	-3.93223	-3.4296	
-13.7698	-2.47575	-3.93223	-3.93223	-3.4296	-2.47575	-3.93223	-3.93223	-3.4296	
-13.7698	-2.47575	-3.93223	-3.93223	-3.4296	-2.47575	-3.93223	-3.93223	-3.4296	
-15.331	-2.34237	-3.4296	-5.31852	-4.24053	-2.34237	-3.4296	-5.31852	-4.24053	
-15.331	-2.34237	-3.4296	-5.31852	-4.24053	-2.34237	-3.4296	-5.31852	-4.24053	
-14.7498	-1.9885	-3.93223	-4.41455	-4.41455	-1.9885	-3.93223	-4.41455	-4.41455	
-16.9311	-2.61867	-4.08044	-5.62682	-4.60517	-2.61867	-4.08044	-5.62682	-4.60517	
-12.7722	-1.88322	-3.66516	-3.79424	-3.4296	-1.88322	-3.66516	-3.79424	-3.4296	
-12.7722	-1.88322	-3.66516	-3.79424	-3.4296	-1.88322	-3.66516	-3.79424	-3.4296	
-12.7722	-1.88322	-3.66516	-3.79424	-3.4296	-1.88322	-3.66516	-3.79424	-3.4296	
-12.7722	-1.88322	-3.66516	-3.79424	-3.4296	-1.88322	-3.66516	-3.79424	-3.4296	
-12.7722	-1.88322	-3.66516	-3.79424	-3.4296	-1.88322	-3.66516	-3.79424	-3.4296	
-12.7722	-1.88322	-3.66516	-3.79424	-3.4296	-1.88322	-3.66516	-3.79424	-3.4296	
-12.7722	-1.88322	-3.66516	-3.79424	-3.4296	-1.88322	-3.66516	-3.79424	-3.4296	
-12.7722	-1.88322	-3.66516	-3.79424	-3.4296	-1.88322	-3.66516	-3.79424	-3.4296	
-12.7722	-1.88322	-3.66516	-3.79424	-3.4296	-1.88322	-3.66516	-3.79424	-3.4296	
-12.7722	-1.88322	-3.66516	-3.79424	-3.4296	-1.88322	-3.66516	-3.79424	-3.4296	
-12.7722	-1.88322	-3.66516	-3.79424	-3.4296	-1.88322	-3.66516	-3.79424	-3.4296	
-12.7722	-1.88322	-3.66516	-3.79424	-3.4296	-1.88322	-3.66516	-3.79424	-3.4296	
-15.9819	-2.34237	-4.08044	-3.93223	-5.62682	-2.34237	-4.08044	-3.93223	-5.62682	
-16.3366	-2.09964	-4.81589	-4.81589	-4.60517	-2.09964	-4.81589	-4.81589	-4.60517	
-16.5923	-2.21733	-4.81589	-5.62682	-3.93223	-2.21733	-4.81589	-5.62682	-3.93223	
-16.0299	-2.0433	-4.81589	-5.62682	-3.54391	-2.0433	-4.81589	-5.62682	-3.54391	
-15.6011	-2.09964	-4.08044	-5.62682	-3.79424	-2.09964	-4.08044	-5.62682	-3.79424	
-13.5022	-1.68794	-4.60517	-3.66516	-3.54391	-1.68794	-4.60517	-3.66516	-3.54391	
-14.6803	-2.27887	-4.08044	-4.24053	-4.08044	-2.27887	-4.08044	-4.24053	-4.08044	
-14.9119	-1.88322	-4.08044	-5.62682	-3.32146	-1.88322	-4.08044	-5.62682	-3.32146	
-14.7236	-1.735	-4.24053	-5.31852	-3.4296	-1.735	-4.24053	-5.31852	-3.4296	
-13.9663	-1.55306	-3.4296	-5.31852	-3.66516	-1.55306	-3.4296	-5.31852	-3.66516	
-13.5216	-2.21733	-4.60517	-4.08044	-2.61867	-2.21733	-4.60517	-4.08044	-2.61867	
-13.5216	-2.21733	-4.60517	-4.08044	-2.61867	-2.21733	-4.60517	-4.08044	-2.61867	
-13.6933	-1.9885	-3.54391	-4.08044	-4.08044	-1.9885	-3.54391	-4.08044	-4.08044	
-13.6933	-1.9885	-3.54391	-4.08044	-4.08044	-1.9885	-3.54391	-4.08044	-4.08044	
-13.6933	-1.9885	-3.54391	-4.08044	-4.08044	-1.9885	-3.54391	-4.08044	-4.08044	
-13.6933	-1.9885	-3.54391	-4.08044	-4.08044	-1.9885	-3.54391	-4.08044	-4.08044	
-13.6933	-1.9885	-3.54391	-4.08044	-4.08044	-1.9885	-3.54391	-4.08044	-4.08044	
-13.6933	-1.9885	-3.54391	-4.08044	-4.08044	-1.9885	-3.54391	-4.08044	-4.08044	
-13.6933	-1.9885	-3.54391	-4.08044	-4.08044	-1.9885	-3.54391	-4.08044	-4.08044	
-13.6933	-1.9885	-3.54391	-4.08044	-4.08044	-1.9885	-3.54391	-4.08044	-4.08044	
-17.4119	-2.93935	-4.60517	-5.62682	-4.24053	-2.93935	-4.60517	-5.62682	-4.24053	
-15.0777	-2.09964	-3.32146	-5.99146	-3.66516	-2.09964	-3.32146	-5.99146	-3.66516	
-13.8551	-1.68794	-4.24053	-4.60517	-3.32146	-1.68794	-4.24053	-4.60517	-3.32146	
-13.8551	-1.68794	-4.24053	-4.60517	-3.32146	-1.68794	-4.24053	-4.60517	-3.32146	
-13.8551	-1.68794	-4.24053	-4.60517	-3.32146	-1.68794	-4.24053	-4.60517	-3.32146	
-14.9993	-2.69415	-3.66516	-5.31852	-3.32146	-2.69415	-3.66516	-5.31852	-3.32146	
-13.0155	-1.9885	-3.4296	-5.05146	-2.54593	-1.9885	-3.4296	-5.05146	-2.54593	
-13.3255	-1.88322	-4.08044	-4.24053	-3.1213	-1.88322	-4.08044	-4.24053	-3.1213	
-13.3255	-1.88322	-4.08044	-4.24053	-3.1213	-1.88322	-4.08044	-4.24053	-3.1213	
