Hw[0]	Hw[1]	Hw[2]	Hw[3]	
0.875862	0.933333	0.978261	0.954545	
0.921839	0.911111	0.981884	0.893939	
0.921839	0.911111	0.974638	0.939394	
0.871264	0.866667	0.981884	0.954545	
0.864368	0.844444	0.974638	0.969697	
0.751724	0.911111	0.978261	0.969697	
0.88046	0.888889	0.956522	0.909091	
0.94023	0.844444	0.985507	0.939394	
0.924138	0.755556	0.934783	0.924242	
0.944828	0.977778	0.985507	0.984848	
0.88046	0.866667	0.98913	0.984848	
0.891954	0.777778	0.98913	0.924242	
0.903448	0.844444	0.974638	0.863636	
0.772414	0.933333	0.981884	0.969697	
0.910345	1	0.934783	0.984848	
0.896552	0.933333	0.952899	1	
0.928736	0.622222	0.974638	0.954545	
0.937931	0.777778	0.98913	0.984848	
0.908046	0.933333	0.956522	0.939394	
0.910345	0.933333	0.996377	0.954545	
0.836782	0.866667	0.98913	0.939394	
0.942529	0.888889	0.978261	0.984848	
0.901149	0.933333	0.992754	0.893939	
0.935632	0.933333	0.992754	0.939394	
0.905747	0.8	1	0.939394	
0.933333	0.955556	0.981884	0.984848	
0.931034	0.844444	0.992754	0.893939	
0.889655	0.911111	0.98913	0.924242	
0.864368	0.955556	0.949275	0.909091	
0.954023	0.911111	0.978261	0.984848	
0.917241	0.888889	0.945652	0.772727	
0.963218	0.888889	0.98913	0.969697	
0.908046	0.911111	0.98913	0.984848	
0.868966	0.955556	0.981884	0.984848	
0.855172	0.955556	0.98913	0.939394	
0.908046	0.888889	0.985507	0.984848	
0.891954	0.955556	0.967391	1	
0.928736	0.888889	0.98913	0.984848	
0.933333	0.666667	0.985507	0.954545	
0.926437	0.2	0.98913	0.969697	
0.891954	0.933333	0.992754	0.969697	
0.937931	0.955556	0.996377	0.954545	
0.885057	0.933333	0.98913	0.924242	
