R2[0]	R2[1]	R2[2]	R2[3]	
0.0857507	0.116069	0.0496285	0.119006	
0.07949	0.158286	0.0674114	0.130014	
0.0852286	0.154132	0.0857801	0.167629	
0.0983898	0.124468	0.11216	0.0971929	
0.0440236	0.114552	0.0619231	0.10943	
0.122176	0.169835	0.0875228	0.129999	
0.0407883	0.121128	0.0824213	0.107508	
0.079503	0.162136	0.0856095	0.103368	
0.108522	0.111921	0.0622137	0.133163	
0.0633596	0.164953	0.105908	0.16486	
0.0981533	0.109637	0.0703745	0.144989	
0.0888793	0.142664	0.088745	0.0561709	
0.100168	0.115351	0.0675796	0.149105	
0.0507832	0.18653	0.0624208	0.137426	
0.0592435	0.18486	0.0665706	0.108543	
0.0791412	0.189382	0.0614108	0.0896852	
0.0650516	0.213225	0.0873333	0.104782	
0.075148	0.153246	0.0586782	0.144476	
0.0834378	0.165194	0.058933	0.11561	
0.0729678	0.140836	0.0606994	0.0828745	
0.0962078	0.191967	0.0609284	0.0880381	
0.0580338	0.187515	0.0769875	0.119289	
0.0690708	0.106813	0.0767009	0.221925	
0.0679603	0.181998	0.0629182	0.142014	
0.0590212	0.134491	0.0506395	0.0976292	
0.069362	0.138958	0.0577902	0.1562	
0.0645292	0.118858	0.0816964	0.14222	
0.0469187	0.143797	0.0618182	0.129203	
0.0562253	0.121098	0.0702983	0.103935	
0.0695843	0.0960234	0.0798179	0.0656579	
0.0521123	0.0956401	0.121427	0.0681978	
0.061325	0.18685	0.0888916	0.12372	
0.114568	0.140839	0.10966	0.117204	
0.0952252	0.093847	0.0568363	0.103207	
0.0817347	0.122005	0.0600617	0.0979166	
0.0705771	0.183438	0.0887681	0.110937	
0.05692	0.134157	0.0854447	0.141459	
0.041156	0.108716	0.10866	0.144338	
0.0842432	0.245136	0.0724731	0.09249	
0.0660618	0.205051	0.10206	0.0753897	
0.0788623	0.175717	0.0582038	0.0861536	
0.112765	0.146538	0.148238	0.160962	
0.0596749	0.182594	0.0532128	0.120923	
0.089544	0.18677	0.0484415	0.166741	
0.120831	0.129754	0.103823	0.0745034	
0.086399	0.133795	0.0582854	0.148162	
0.0545665	0.129989	0.076168	0.106458	
0.0717196	0.12322	0.0606884	0.0982739	
0.0594465	0.124648	0.0721946	0.100605	
0.0629846	0.125375	0.0914314	0.0915317	
0.0631666	0.154931	0.068372	0.134782	
0.11294	0.124173	0.102844	0.129574	
0.0617177	0.0956401	0.106145	0.111871	
0.092174	0.0737996	0.0752415	0.109901	
0.0822608	0.193428	0.0494172	0.0824553	
0.0903266	0.164894	0.08247	0.0971142	
0.0826946	0.130303	0.0849033	0.101991	
0.0707927	0.0952499	0.0625293	0.113807	
0.0445432	0.164894	0.0724443	0.096849	
0.0834854	0.126295	0.0442149	0.132601	
0.0626717	0.154931	0.0556175	0.082932	
0.0617347	0.165878	0.130134	0.124146	
0.0699405	0.15215	0.0859359	0.074478	
0.0848947	0.107095	0.0723052	0.100626	
0.0626024	0.0956401	0.104891	0.154032	
0.0610554	0.121972	0.110147	0.0795838	
0.0649276	0.104919	0.0790235	0.0776067	
0.0661951	0.13705	0.0656516	0.147043	
0.0940919	0.109637	0.0564471	0.124812	
0.066836	0.14571	0.107268	0.104961	
0.0520218	0.17178	0.0583947	0.113943	
0.0407124	0.122572	0.0655523	0.108986	
0.0933466	0.122005	0.0504678	0.107643	
0.0606797	0.182594	0.117029	0.110687	
0.0953083	0.146412	0.0791316	0.135625	
0.0507776	0.114996	0.0754208	0.102238	
0.118714	0.116775	0.06424	0.164782	
0.101642	0.0923345	0.0829529	0.130158	
0.0888826	0.108547	0.101385	0.166099	
0.0680427	0.0956401	0.0986087	0.124226	
0.109316	0.137496	0.101745	0.128864	
0.0849839	0.103253	0.0770021	0.0820896	
0.0795962	0.137303	0.0909017	0.0957146	
0.0760794	0.184561	0.0545275	0.146395	
0.0542465	0.121469	0.0670164	0.0884006	
0.119977	0.0829022	0.109362	0.112355	
0.0616759	0.161037	0.0748455	0.103188	
0.0738293	0.136592	0.0509269	0.0798504	
0.0815146	0.0960234	0.052662	0.104993	
0.0831796	0.197319	0.0738694	0.133038	
0.0600544	0.106061	0.0893714	0.102719	
