ThetaTaj[0]	ThetaTaj[1]	ThetaTaj[2]	ThetaTaj[3]	
3.52874	4.35556	5.87681	4.12121	
4.83908	3.64444	14.7428	4.43939	
2.85517	4.51111	6.31159	5.45455	
3.85287	4.68889	6.64855	6.19697	
5.22529	3.35556	10.9058	3.83333	
3.91034	3.35556	7.18116	3.48485	
2.44138	3.62222	8.67029	5.01515	
3.32644	3.35556	6.98188	4.48485	
2.96322	3.6	8.03623	4.13636	
2.93793	3.28889	9.64493	4.42424	
3.01149	4.13333	7.85507	5.33333	
4.81609	3.02222	10.8152	5.21212	
2.63448	2.77778	10.8116	3.84848	
4.11264	2.62222	8.52174	4.84848	
3.83678	4.75556	6.55435	3.9697	
3.97931	2.2	9.3913	4.4697	
3.85517	2.46667	9.2971	4.54545	
3.26207	3.06667	7.85507	5.18182	
2.17241	2.2	8.41304	4.54545	
3.58851	3.4	6.36232	4.51515	
2.81609	4.13333	6.39855	4.43939	
2.88276	3.95556	13.1703	5.19697	
3.13333	4.06667	9.46739	3.42424	
1.51954	3.13333	8.21739	4.09091	
2.69425	2.77778	10.971	5.81818	
2.85517	3.17778	11.3732	3.5303	
2.91264	3.08889	9.32246	3.51515	
3.14483	3.84444	8.24638	5.78788	
4.27356	2.46667	6.99638	4.09091	
3.06897	3.97778	11.4601	4.57576	
2.37701	4.15556	6.50362	4.90909	
1.9931	3.17778	7.38768	4.60606	
4.10345	3.53333	6.4529	3.92424	
1.85977	4.51111	12.2826	4.43939	
4.1908	3.55556	9	5.69697	
1.9954	3.17778	8.36232	4.5	
5.17011	3	7.09058	6.34848	
4.38621	2.35556	9.63768	5.24242	
3.93793	3.37778	10.5	6.39394	
2.71494	2.77778	10.5217	4.10606	
4.69885	3.71111	10.8007	5.21212	
3.91034	2.2	8.62681	3.71212	
3.51494	3.26667	10.2681	3.21212	
3.48966	4.55556	6.61594	5.71212	
2.47586	3.31111	7.60507	4.13636	
5.04598	2.35556	11.3732	4.71212	
2.94483	4.02222	8.55797	4.07576	
3.42759	3.68889	6.2971	3.28788	
3.56092	2.82222	6.52899	4.40909	
3.70115	4.66667	8.06522	5.25758	
2.01839	2.86667	9.98551	4.34848	
2.36322	3.53333	12.3478	3.86364	
3.14483	3.6	9.11594	4.89394	
3.96782	2.84444	9.44565	5.07576	
7.69885	4.28889	10.3007	2.9697	
4.34253	3.33333	10.5797	4.48485	
1.81609	3.06667	8.3442	4.16667	
4.33563	4.22222	7.19203	3.72727	
2.94253	4.08889	10.2572	4	
3.56782	3.8	7.81884	4.37879	
2.76782	4.06667	12.0362	4.86364	
3	4.51111	8.6558	4.31818	
3.7931	2.51111	15.1594	4.01515	
3.04828	3.35556	7.75	5.68182	
2.89655	4.33333	9.1558	3.80303	
2.06667	3.8	5.48188	4.48485	
3.64368	3.15556	7.07609	5.9697	
1.70575	4.22222	7.76449	3.45455	
3.2023	3.75556	9.56159	4.16667	
2.44598	3.37778	9.93116	4.39394	
2.62529	2.97778	6.96014	6.71212	
4.55402	4.73333	10.2971	4.13636	
2.34713	4.8	8.51812	5.30303	
4.2023	4.2	9.82246	5.16667	
2.16092	3.71111	10.4058	5.63636	
3.16782	3.37778	8.69928	4.60606	
2.05517	3.28889	9.32609	3.45455	
2.47126	3.48889	7.72101	5.33333	
2.94483	2.86667	9.12319	5.33333	
2.2	3.68889	10.663	6.07576	
4.2092	4.31111	5.94565	3.66667	
3.03678	2.91111	6.4529	4.31818	
2.89425	2.88889	8.92029	4.72727	
3.17701	3.51111	8.76449	4.12121	
2.8046	3.31111	8.80072	3.69697	
4.26437	4.31111	9.89855	5.06061	
2.85057	3.93333	6.78261	4.69697	
2.94023	3.75556	7.7029	4.87879	
2.57931	3.2	9.00362	5.37879	
3.27356	3.53333	7.92754	5.62121	
2.53563	2.86667	8.55435	3.71212	
2.23218	3.37778	5.98913	3.72727	
2.18621	2.35556	9.6413	3.92424	
3.41149	2.62222	11.8333	4.45455	
2.71034	2.62222	7.28261	4.60606	
3.27126	2.93333	7.34783	3.5303	
3.2046	4.86667	6.29348	5.27273	
3.48736	4.8	6.30797	4.19697	
2.71954	3.35556	6.66667	5.51515	
3	4.55556	7.8913	5.39394	
2.41839	3.84444	8.26087	4.65152	
2.34023	4.06667	8.82246	4.54545	
2.45977	3.62222	10.1232	4.83333	
3.90575	3.46667	7.8587	4.83333	
3.01379	3.68889	8.9058	4.86364	
3.57471	3.17778	8.46377	3.48485	
3.56782	2.2	5.82609	3.66667	
2.16322	3.13333	7.65942	4	
2.08966	4.4	9.50362	5.06061	
4.32874	2.68889	6.79348	4.84848	
2.78391	3.31111	6.05072	3.59091	
3	2.68889	12.2138	3.59091	
2.18851	2.2	6.81884	4.71212	
3.22759	3.22222	6.36232	3.95455	
2.93793	3.53333	7.9058	3.37879	
3.82989	3.88889	8.97464	4.48485	
3.71724	4.33333	8.12319	4.65152	
2.4092	3.13333	6.42029	5.56061	
3.28736	5.53333	12.4239	5.51515	
3.32414	4.53333	6.13406	4.74242	
2.76552	2.51111	5.86594	5.75758	
2.4092	3.88889	10.8949	4.59091	
4.41149	2.84444	5.74275	4.4697	
2.61839	5.37778	6.80072	3.42424	
1.91264	3.93333	11.779	4.07576	
4.22759	2.62222	6.46377	3.98485	
3.53103	4.22222	8.36957	6.07576	
3.46437	3.31111	11.7391	3.75758	
4.28506	3.24444	7.13768	3.07576	
3.08506	4.46667	7.36594	4.04545	
2.93563	5.04444	9.63768	2.9697	
2.9908	2.77778	9.41667	4.57576	
4.56552	2.8	8.53623	5.07576	
4.03908	4.6	6.10507	4.81818	
3.98851	2.66667	7.99275	5.07576	
2.22989	3.44444	6.6413	3.51515	
3.50575	3.95556	8.02899	3.69697	
3.23678	2.68889	8.59058	7.31818	
3.12644	3.22222	6.59058	4.13636	
2.22529	2.2	6.26449	4.43939	
4.5931	5.2	7.58696	3.95455	
3.27816	2.82222	7.13406	4.12121	
3.28046	3.71111	7.50725	4.71212	
3.97011	3.6	11.6558	4.10606	
3.45287	3.02222	6.08696	4.93939	
4.15862	3	8.07246	4.27273	
