mlcoalsim version 09v3beta (20060206)
OUTPUT FILE: date 02/12/06 17:34:46 

Input data from the file: l2f1r12.txt

Finite island model. Population parameters in function of 4Ne
except the parameters that indicate the size of the populations, as Ne).

Print_neuttest:        1
Print_matrixpol:       0
N_iterations:          10000
Seed1:                 4638

N_loci:                1
N_sites:               3927
N_samples:             11
Mutations:             96
Sfix_allthetas:        1
Range_thetant:         1
Thetant_min:           0.000500
Thetant_max:           0.060000
Recombination:         12
Nintn:                 5
Nrec:                  1 1 0.01 0.01 1
Npast:                 1 0.01 0.01 1 1
Tpast:                 0.045 1E-006 0.005 1E-006 4

REJECTION ALGORITHM OF TAVARE et al. 1997. Fix S and screening all probable thetas.  Rejection algorithm n. 2.

Neutral tests (excluding multiple hits positions)
value(TD)	value(Fs)	value(FD*)	value(FF*)	value(FD)	value(FF)	value(H)	value(B)	value(Q)	value(ZA)	value(Fst)	value(Kw)	value(Hw)	value(R2)	value(S)	value(pi_w)	value(pi_b)	value(ThetaWatt)	value(ThetaTaj)	value(ThetaFW*)	value(D/Dmin)	value(H/Hmin)	value(maxhap)	value(maxhap1)
-1.6277	-2.092	-2.0687	-2.2207	-3.0582	-3.2328	16.873	0.084211	0.14583	0.11083	na	1	1	0.062801	96	0	0	32.776	21.636	4.7636	-0.72706	0.10741	0.090909	0.18182	
0.21072	0.41777	0.2326	0.25778	0.11263	0.17526	4.2364	0.36842	0.4375	0.42993	na	0.90909	0.98182	0.15063	96	0	0	32.776	34.218	29.982	0.094125	0.026968	0.18182	0.18182	
1.6135	0.86231	0.64683	1.0172	0.68339	1.1882	3.4364	0.65263	0.66667	0.68319	na	0.90909	0.98182	0.208	96	0	0	32.776	43.818	40.382	0.7207	0.021875	0.18182	0.18182	
-1.8349	-2.2421	-1.9766	-2.2036	-2.9314	-3.2011	16.236	0.073684	0.125	0.098525	na	1	1	0.04945	96	0	0	32.776	20.218	3.9818	-0.81962	0.10336	0.090909	0.090909	
-1.4896	-2	-1.6084	-1.7921	-2.4241	-2.6368	17.364	0.13684	0.20833	0.17658	na	1	1	0.069949	96	0	0	32.776	22.582	5.2182	-0.66535	0.11053	0.090909	0.090909	
-2.0103	-2.3824	-2.4369	-2.6431	-1.8533	-2.3407	-32.164	0.55789	0.57292	0.5701	na	1	1	0.19846	96	0	0	32.776	19.018	51.182	-0.89794	-0.20475	0.090909	0.18182	
-1.7924	-2.21	-1.8846	-2.1135	-2.8046	-3.0764	17.418	0.17895	0.25	0.2089	na	1	1	0.061747	96	0	0	32.776	20.509	3.0909	-0.80064	0.11088	0.090909	0.18182	
0.80051	0.61947	0.78491	0.89603	0.87364	1.0486	-8.0909	0.6	0.61458	0.64568	na	0.90909	0.98182	0.18169	96	0	0	32.776	38.255	46.345	0.35757	-0.051505	0.18182	0.18182	
0.7155	0.59189	0.37067	0.52178	0.30288	0.52676	-2.4545	0.41053	0.42708	0.46236	na	0.90909	0.98182	0.17076	96	0	0	32.776	37.673	40.127	0.3196	-0.015625	0.18182	0.18182	
-1.8403	-2.2462	-2.2988	-2.4769	-2.2338	-2.6041	-19.236	0.35789	0.375	0.39345	na	1	1	0.10662	96	0	0	32.776	20.182	39.418	-0.822	-0.12245	0.090909	0.090909	
-1.0379	-0.11708	-0.22766	-0.49538	-0.20445	-0.5624	-17.655	0.42105	0.44792	0.47993	na	0.90909	0.98182	0.10152	96	0	0	32.776	25.673	43.327	-0.46362	-0.11238	0.18182	0.18182	
1.7038	2.4412	1.4293	1.7035	1.7615	2.1476	-6.7273	0.62105	0.66667	0.71617	na	0.81818	0.96364	0.22681	96	0	0	32.776	44.436	51.164	0.76104	-0.042824	0.18182	0.27273	
-1.9412	-2.3256	-2.1147	-2.3511	-3.1216	-3.4041	16.982	0.042105	0.072917	0.059789	na	1	1	0.048905	96	0	0	32.776	19.491	2.5091	-0.86709	0.1081	0.090909	0.090909	
-1.9943	-2.3691	-2.4829	-2.6772	-1.7265	-2.2258	-40.345	0.34737	0.40625	0.3651	na	1	1	0.14326	96	0	0	32.776	19.127	59.473	-0.89082	-0.25683	0.090909	0.090909	
