ThetaFW[0]	ThetaFW[1]	ThetaFW[2]	ThetaFW[3]	ThetaFW[4]	
0	0	0.0151515	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0.0151515	0	
0	0.0151515	0	0	0.0151515	
0	0	0.0151515	0	0	
0	0	0	0	0	
0	0	0	3.68182	9.25758	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	21.7576	22	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	5.5	
0	0	0.0606061	0	0	
0	0	0.0151515	0	0	
0	0.0151515	0.0151515	0	0	
0	0	0.0151515	7.43939	14.7424	
0	0	16.6818	29.4848	3.66667	
0	0	0.0151515	0	0	
0	0.0151515	0	0.0151515	0	
0	0	0	0	0.0151515	
0	0.0151515	0	0	0.0151515	
0	0	0	0	0	
0	0	0	0	0	
0	0.0151515	0.0151515	0	0	
6.30303	0	17.5303	3.30303	0	
0	0	0	0	0.0151515	
0	0.0151515	0	0	0.0151515	
0	0	0	0	0	
0	0	0	0	0	
0	0	7.33333	9.83333	17.5909	
0	0.0151515	0	0	0	
0	0.0151515	0	0	0	
0	0	0	0.0151515	0	
0	0	0	0	0	
0	0	0	0.0151515	0	
0	0	0	0	0	
0	0	0.0151515	0	0	
0	0	0	0	0	
0	0	0.030303	0	0	
0	0	0	0	9.33333	
0	0	0	0	0	
0	0.0151515	0	0	0	
0	0	0	0	0.0151515	
0	0	0	0	0	
0	0	0.0606061	0	0	
0	0	0.030303	0	3.66667	
0	0	5.51515	11.1667	5.62121	
0	0	0	0.0606061	0	
0	0	0	0	0	
0	0	0	0	0.0151515	
0	0	1.63636	5.10606	1.43939	
0	0	0	0	0	
0	0	0	0.0606061	0.0151515	
0	0	27.6818	29.5	16.6212	
0	0	0	0	0	
0.0151515	0	0	0	0	
0	0	0.0151515	0	0	
0	0	0.0151515	0	0.0151515	
0	0	0	0	0	
0	0	0	0.0151515	0	
0	0	0	0	0	
0	0.0151515	31.4091	14.7879	18.4545	
0	0	0.0151515	0	0.0151515	
0	0	0	0	0	
0	0	0	0	0	
0.0151515	0	5.59091	7.43939	9.22727	
0	0.0151515	0	0	0	
0	0.0151515	0.0151515	0	0	
0	0	0	0	0	
0	0.0151515	0	0.0151515	0	
0	0	0	0	0	
0	0	0	0	0.0151515	
0	0	0	0	0	
0	0	1.5303	14.1212	6.60606	
0	0	0	0	0.0151515	
0	0	0	0	0	
0.0151515	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.0151515	0	0	
0	0	0.0151515	0	0	
0	0	0	1.86364	1.93939	
0.0151515	0	0	0	0	
7.42424	1.86364	0	0.0151515	0	
0	0	0.0151515	0	0	
0	0	46.0606	3.72727	1.84848	
0	0	0.0151515	0	0	
0	0	0	0	0.0151515	
0	0	5.54545	9.19697	27.5758	
0	0	0	0	0	
0	0	0	18.5606	12.9242	
0	0	0	0	0	
0	0.0151515	0	0	0	
0	0	0.0151515	0	0.0151515	
0	0.0151515	0	0	0	
0	0	0	0	0	
0	0	0.0151515	0	0	
0	0	0	0	0	
0	0.0151515	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0.0151515	48.0303	29.5	3.66667	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	1.92424	1.83333	
0	0	0	0	0	
0	0	0	0	0	
1.84848	1.89394	0	0	0	
0	0	0	0	16.6364	
0	0	0	0	0	
0	0.0151515	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0.0151515	0	0	0	0	
1.87879	0	7.36364	10.803	14.9091	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0.0151515	0	0	0	0	
0	0	0	0	0	
0	0	0.0151515	0	0	
0	0	12.8788	9.36364	11.0909	
1.86364	0.0151515	0.0151515	0.0151515	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0.0151515	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	2.18182	6.56061	
0	0	0	0	0	
0	0	0	0	0	
1.87879	9.21212	9.27273	5.60606	1.87879	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.0151515	0.0151515	1.83333	
0	0	0	5.51515	5.56061	
0	0	0	0	0	
0	0	0	11.0909	3.74242	
0	0	0.0151515	0	0	
0	0.030303	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0.0151515	0	0	0	
0	0	0	0	0.0151515	
0	0	0	0	0	
0	0	0.0151515	0	0	
0	0	0	0	18.4242	
0	0	0	0	0	
0	0	0	0.0151515	0	
0.136364	0	0	0.0151515	7.42424	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	21.5909	32.2424	8.71212	
0	0	0	0	0.0151515	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	29.4697	7.40909	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0.242424	7.0303	
0	0	0	0.030303	1.87879	
0	0	0	0	0	
0	0	0	5.5303	4.5	
0	0	0	0.0151515	0.0151515	
0	0	11.1667	14.8485	25.8182	
0	0	0.0151515	0	0	
0	0.0151515	0.0151515	0	7.77273	
0	0	0	0	0.0151515	
0	0	0	0	0	
0	0	0.0151515	0.0151515	0	
0	0	0.0606061	0	0.0151515	
0	0	0	0	0	
0	0	0	0.030303	7.22727	
0	0	0	0	0	
0	0	0.0151515	0	0	
0	0	0	12.9545	3.71212	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0.136364	0	0.0151515	0	0	
0	0.136364	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0.0606061	
0	0	0.0151515	0.136364	0	
0	0	0	0.0606061	0	
1.83333	0	0	0.0151515	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0.0151515	0	0	0	
0	0	0	0	0	
0	0	0	0.0151515	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0.0151515	
0	0	0	0	0	
0	0	0	1.84848	5.56061	
0	0	0.0151515	0	0	
0	0	0.0151515	0.0151515	0	
0	0	0	0	0	
0	0	20.2576	18.4545	31.4091	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.0606061	0	0	
0	0.0151515	0	0	0	
0	0.0151515	0	0	0	
0	0	0.0606061	0	0	
0	0	0	12.9091	16.5606	
0	0	0	0	0	
0.0151515	0	0	0	0	
0.030303	0	0	0	0.0151515	
0	0	0	0	0	
0	0	0.0151515	0	0	
0	0	0	8	6.78788	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.0151515	0	0	
