H[0]	H[1]	H[2]	H[3]	H[4]	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	-5	
0	0	0.242424	0	0	
0	0	0.151515	0	0	
0	0.151515	0.151515	0	0	
0	0	0.151515	-5.60606	-12.5758	
0	0	-13.1818	-25.1515	-3.33333	
0	0	0.151515	0	0	
0	0.151515	0	0.151515	0	
0	0	0	0	0.151515	
0	0.151515	0	0	0.151515	
0	0	0	0	0	
0	0	0	0	0	
0	0.151515	0.151515	0	0	
-3.87879	0	-9.78788	-1.15152	0	
0	0	0	0	0.151515	
0	0.151515	0	0	0.151515	
0	0	0	0	0	
0	0	0	0	0	
0	0	-6.66667	-7.12121	-11	
0	0.151515	0	0	0	
0	0.151515	0	0	0	
0	0	0	0.151515	0	
0	0	0	0	0	
0	0	0	0.151515	0	
0	0	0	0	0	
0	0	0.151515	0	0	
0	0	0	0	0	
0	0	0.30303	0	0	
0	0	0	0	-6.66667	
0	0	0	0	0	
0	0.151515	0	0	0	
0	0	0	0	0.151515	
0	0	0	0	0	
0	0	0.242424	0	0	
0	0	0.30303	0	-3.33333	
0	0	-4.84848	-8.33333	-3.78788	
0	0	0	0.242424	0	
0	0	0	0	0	
0	0	0	0	0.151515	
0	0	-0.727273	-2.75758	0.212121	
0	0	0	0	0	
0	0	0	0.242424	0.151515	
0	0	-23.1818	-25	-13.7879	
0	0	0	0	0	
0.151515	0	0	0	0	
0	0	0.151515	0	0	
0	0	0.151515	0	0.151515	
0	0	0	0	0	
0	0	0	0.151515	0	
0	0	0	0	0	
0	0.151515	-25.9091	-12.1212	-15.4545	
0	0	0.151515	0	0.151515	
0	0	0	0	0	
0	0	0	0	0	
0.151515	0	-4.09091	-5.60606	-7.72727	
0	0.151515	0	0	0	
0	0.151515	0.151515	0	0	
0	0	0	0	0	
0	0.151515	0	0.151515	0	
0	0	0	0	0	
0	0	0	0	0.151515	
0	0	0	0	0	
0	0	-1.06061	-8.9697	-2.66667	
0	0	0	0	0.151515	
0	0	0	0	0	
0.151515	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.151515	0	0	
0	0	0.151515	0	0	
0	0	0	-1.36364	-0.606061	
0.151515	0	0	0	0	
-5.75758	-1.36364	0	0.151515	0	
0	0	0.151515	0	0	
0	0	-39.3939	-2.72727	-1.51515	
0	0	0.151515	0	0	
0	0	0	0	0.151515	
0	0	-4.54545	-8.0303	-24.2424	
0	0	0	0	0	
0	0	0	-14.3939	-10.7576	
0	0	0	0	0	
0	0.151515	0	0	0	
0	0	0.151515	0	0.151515	
0	0.151515	0	0	0	
0	0	0	0	0	
0	0	0.151515	0	0	
0	0	0	0	0	
0	0.151515	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0.151515	-39.697	-25	-3.33333	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	-0.757576	-1.66667	
0	0	0	0	0	
0	0	0	0	0	
-1.51515	-1.06061	0	0	0	
0	0	0	0	-13.6364	
0	0	0	0	0	
0	0.151515	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0.151515	0	0	0	0	
-1.21212	0	-6.36364	-8.33333	-10.5455	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0.151515	0	0	0	0	
0	0	0	0	0	
0	0	0.151515	0	0	
0	0	-11.2121	-6.36364	-9.09091	
-1.36364	0.151515	0.151515	0.151515	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0.151515	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	-0.727273	-2.0303	
0	0	0	0	0	
0	0	0	0	0	
-1.21212	-7.87879	-7.27273	-3.93939	-1.21212	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.151515	0.151515	-1.66667	
0	0	0	-4.84848	-4.39394	
0	0	0	0	0	
0	0	0	-9.09091	-2.57576	
0	0	0.151515	0	0	
0	0.30303	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0.151515	0	0	0	
0	0	0	0	0.151515	
0	0	0	0	0	
0	0	0.151515	0	0	
0	0	0	0	-15.7576	
0	0	0	0	0	
0	0	0	0.151515	0	
0.272727	0	0	0.151515	-5.75758	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	-16.8182	-22.303	-5.60606	
0	0	0	0	0.151515	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	-25.303	-5.90909	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0.242424	-1.69697	
0	0	0	0.30303	-1.21212	
0	0	0	0	0	
0	0	0	-4.69697	-2.63636	
0	0	0	0.151515	0.151515	
0	0	-8.33333	-11.5152	-21.8182	
0	0	0.151515	0	0	
0	0.151515	0.151515	0	-4.09091	
0	0	0	0	0.151515	
0	0	0	0	0	
0	0	0.151515	0.151515	0	
0	0	0.242424	0	0.151515	
0	0	0	0	0	
0	0	0	0.30303	-1.90909	
0	0	0	0	0	
0	0	0.151515	0	0	
0	0	0	-10.4545	-2.87879	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0.272727	0	0.151515	0	0	
0	0.272727	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0.242424	
0	0	0.151515	0.272727	0	
0	0	0	0.242424	0	
-1.66667	0	0	0.151515	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0.151515	0	0	0	
