ThetaFW[0]	ThetaFW[1]	ThetaFW[2]	ThetaFW[3]	
2.50115	1.86667	58.663	4.28788	
9.32644	0.266667	29.7717	8.89394	
14.1287	1.71111	20.7971	5.39394	
3.50575	9.51111	33.9384	4.90909	
21.1379	9.53333	16.5942	14.0455	
4.65517	7.68889	20.8043	7.60606	
3.6	1.95556	33.0145	11.3333	
9.97241	5.22222	15.8913	3.33333	
12.0713	5.53333	38.2609	7.9697	
6.01839	10.2667	22.8877	10.197	
9.91954	3.6	44.0725	11.0303	
30.1471	1.82222	22.4819	14.9697	
11.2161	19.6	30.1739	8.06061	
11.5586	4.51111	43.5652	7.83333	
16.0299	6.48889	41.1123	7.09091	
15.8023	10.9333	47.7283	12.1212	
6.11494	7.31111	55.0978	8.98485	
11.9586	2.42222	29.6341	13.8333	
6.64828	5.46667	43.9022	1.63636	
7.89425	0.266667	41.308	9.75758	
18.9126	12.8667	28.4783	4.25758	
15.3793	3.42222	24.8116	5.54545	
19.2621	3.71111	42.1775	11.6061	
16.5034	5.4	50.4348	4.78788	
6.6046	13.3556	36.0326	8.63636	
6.61609	3.06667	49.4457	7.04545	
8.86207	8.46667	28.3514	9.16667	
9.73793	3.22222	33.2355	5.27273	
10.1632	7.48889	44.3225	9.9697	
9.54943	3.48889	27.0942	4.42424	
13.7126	1.04444	32.2609	8.69697	
9.31494	2.88889	35.7138	10.5909	
7.83448	5.64444	24.837	6.30303	
11.0345	13.4667	21.1087	3.95455	
15.3287	4.08889	24.8007	5.86364	
4.64138	10.2889	33.6449	10.7121	
8.28966	10.6222	40.7029	12.4091	
7.43908	4.71111	40.5	4.98485	
14.423	9.22222	24.6051	6.57576	
13.5839	1.4	43.3587	8.78788	
9.1908	13.3778	37.0362	6.60606	
20.0874	4.86667	27.4384	9.9697	
4.46437	1.73333	34.5471	15.9697	
5.72414	5.2	19.4094	11.4242	
7.36552	2.82222	27.1051	6.93939	
8.85287	4.46667	32.8696	8.65152	
11.5034	3.26667	29.3152	11.7121	
3.63908	4.02222	25.1341	9.36364	
6.13333	2.06667	31.4312	8.42424	
9.85517	0.155556	29.3551	13.8788	
4.81609	8.93333	22.1993	6.63636	
14.223	3.44444	25.4855	9.90909	
14.6713	1.15556	13.2754	8.54545	
5.44138	0.644444	22.3514	9.22727	
12.3379	9.46667	37.7138	14.5152	
24.2184	0.555556	28.9674	6.40909	
3.75632	6.48889	42.6014	11.1515	
5.70115	0.333333	32.9203	8.80303	
11.9954	8.26667	29.4783	10.3788	
5.14023	9.13333	20.6014	5.09091	
9.71954	7.26667	41.2609	6.34848	
9.86667	1.66667	40.5797	14.697	
11.5793	1.75556	40.9746	4.40909	
6.98161	1.64444	34.779	8.74242	
10.2207	6.75556	40.779	6.71212	
12.0092	1.57778	21.6014	7.90909	
4.46897	4.71111	40.221	8.62121	
13.0276	6.6	46.6449	11.4091	
9.65747	6.77778	58.2464	15.8333	
8.81149	7.06667	46.0797	12.2727	
7.54713	1.68889	24.6196	16.2576	
5.81379	4.53333	26.9058	10.9545	
5.28506	7.6	32.0725	4.95455	
19.0115	8.4	41.6703	9.09091	
8.34943	2.2	36.8007	12.0152	
7.77701	9.6	39.2536	12.2424	
27.1839	2.31111	49.7355	7.9697	
21.7931	2.28889	16.4855	4.81818	
8.06897	2.42222	31.7391	15.3485	
2.68966	3.35556	25.8116	7.19697	
25.6276	4.68889	51.1051	7.74242	
16.1402	3.75556	27.1993	6.4697	
10.8736	2.84444	45.7391	9.45455	
10.0207	0.4	56.3152	7.90909	
6.58851	1.08889	19.5036	6.13636	
7.0046	7.42222	37.3406	12.9394	
11.7701	4.97778	32.8732	5.81818	
8.76782	7.6	37	3.59091	
29.3609	12.1111	29.2681	9.25758	
3.89655	2.6	39.3261	10.5152	
5.14253	7.17778	34.7609	7.43939	
21.5425	1.42222	29.9891	13.8788	
9.16322	2.82222	33.221	6.81818	
17.9793	3.31111	29.087	15.6515	
8.85057	5.73333	54.9674	4.66667	
5.47356	1.37778	23.6957	10.4848	
5.81609	3.24444	41.9783	7.90909	
21.508	2.02222	23.971	7.83333	
11.7563	5.55556	45.0978	9.86364	
11.1218	0.511111	40.471	3.9697	
17.9839	12.1111	20.4674	4.56061	
2.07816	6.17778	54.6848	5.01515	
6.62529	2.68889	40	5.04545	
12.5632	3.28889	27.9457	17.7121	
10.846	0.577778	39.0326	7.31818	
10.2874	0.555556	27.5109	9.68182	
8.85057	4.88889	34.529	5.27273	
7.82759	27.7556	30.5725	6.5303	
7.87356	1.68889	36.1848	2.93939	
8.29655	1.73333	25.3043	9.51515	
9.48046	6.13333	24.9348	11.2273	
