FDn[0]	FDn[1]	FDn[2]	FDn[3]	
-0.648719	-0.59482	-0.289662	-0.344073	
-0.194304	-1.391	-0.415129	0.171274	
-0.171763	1.01161	-0.0282586	0.740062	
-0.551827	0.0311011	-0.0320701	-1.25776	
0.204688	-0.572297	1.12172	0.116545	
-1.80467	0.511742	-0.230801	-0.225434	
-0.779746	1.30011	0.297802	-0.0239806	
-1.22564	-1.25376	0.0207262	-0.718618	
-0.394638	0.0691608	0.706206	-0.466116	
0.328605	0.790625	-0.239784	-0.381063	
-2.30243	-0.188839	0.185544	0.571572	
0.00176693	-1.98313	-0.320169	-0.355959	
-0.14922	-0.572297	-0.356914	-0.536146	
0.188462	0.303926	0.656806	0.167945	
-0.229815	-0.834439	-0.402786	-0.0306804	
0.882753	0.449894	-0.684379	-0.057839	
-0.890641	-0.122209	-0.109603	-0.43937	
-0.394638	1.57971	-0.610632	0.632408	
-0.343236	0.774915	-0.0172936	-0.365414	
-0.0676963	0.623123	0.606371	-0.239991	
0.693103	-0.174199	-0.200688	0.180181	
-0.643558	0.233676	0.153528	-0.43937	
1.26778	-1.46816	-0.241973	-0.239991	
-1.09957	0.799241	0.31168	0.470115	
-0.408967	0.224955	-0.248876	-0.818984	
0.556522	0.790625	0.280879	-0.475815	
-0.171763	-0.39729	0.630628	0.376713	
0.322488	-0.188839	-0.178695	0.529684	
-1.2033	-0.628755	0.000130143	0.736164	
-1.00725	0.774915	-0.136524	-0.925313	
-0.429417	0.746243	-0.476709	-0.70554	
-1.91161	1.02623	-0.0533032	0.467697	
1.36065	1.22365	0.0989153	-0.0797166	
-0.808551	-1.56642	-0.0712777	0.262936	
-0.980325	-1.63423	-0.198103	0.0351152	
-0.613053	-0.904279	-1.21053	0.122576	
-0.0802537	0.376717	1.23587	-0.0849666	
-1.01376	-1.56642	0.606174	-0.202751	
-0.668624	-0.0268151	0.780364	0.108964	
-1.40777	-1.98313	-0.232912	0.194273	
