H[0]	H[1]	H[2]	H[3]	
3.65057	2.4	-9.27536	2.33333	
-6.71264	0.0888889	-9.9058	0.757576	
2.12414	-3.2	-6.96377	0.848485	
3.63218	-0.533333	8.56522	-2.30303	
4.85517	0.355556	-0.688406	0.545455	
1.68276	-0.355556	-8.46377	4.84848	
5.02069	0.711111	1.49275	-4.81818	
-0.174713	-11.1111	-0.557971	0.727273	
2.11494	-2.66667	6.05072	6.78788	
-0.947126	1.06667	-0.826087	-0.424242	
1.69195	0.888889	-10.0145	3.57576	
-1.08506	-1.95556	-10.8261	-1.48485	
0.450575	1.33333	-11.8043	3.57576	
-7.35632	1.33333	5.93478	-1.87879	
-4.77241	1.42222	-5.51449	-2.48485	
2.9977	0.977778	9.02174	-1.60606	
3.04368	0.533333	-4.07246	-0.818182	
1.94023	-6.04444	2.1087	1.9697	
1.47126	-3.91111	5.71739	-2.09091	
3.69655	1.24444	-10.1957	0.939394	
-1.34253	0.533333	-6.04348	1.12121	
-2.70345	-0.622222	6.15942	-1.06061	
-1.97701	0.977778	6.45652	-0.848485	
-0.616092	1.51111	-0.391304	0.848485	
-6.83218	-4.88889	9.47826	1.81818	
-3.50345	1.24444	1.21739	-3.75758	
-6.06897	3.02222	-1.25362	1.60606	
5.71034	-1.06667	7.21739	-6.93939	
2.85057	-0.266667	9.06522	-1.42424	
2.36322	0.711111	2.84783	2.90909	
4.66207	-0.355556	4.80435	0.484848	
1.36092	1.86667	-13.8913	3.12121	
3.61379	1.51111	-8.03623	0.363636	
-6.17931	-1.33333	-22.5507	-3.93939	
4.45977	-4.88889	4.60145	3.0303	
-1.21379	0.266667	-4.4058	-5.66667	
-3.04368	0.533333	6.76087	1.42424	
0.450575	-10.3111	-10.2826	2.48485	
1.04828	-2.04444	2.18841	3.39394	
6.9977	-0.266667	-16.5725	1.36364	
-6.96092	2.13333	7.73913	-0.848485	
-7.54023	2.13333	7.16667	0.818182	
-8.65287	1.33333	-6.74638	2.87879	
-4.62529	2.13333	-1.43478	1.21212	
2.69425	0.711111	8.95652	1.66667	
-9.36092	-4.53333	11.6667	0.606061	
2.18851	-3.55556	-3.07246	2.33333	
-6.14253	3.55556	-2.75362	-2.12121	
4.31264	2.57778	9.26087	0.545455	
-0.928736	0.533333	1.94203	1.33333	
5.42529	1.06667	7.73913	-2.12121	
2.38161	-0.0888889	5.16667	-4.9697	
-3.88046	1.24444	1.12319	1.36364	
1.2046	2.13333	4.39855	4.0303	
-16.1655	2.57778	-9.57246	1.24242	
