TD[0]	TD[1]	TD[2]	TD[3]	
-0.514529	0.294175	-0.000718618	0.903043	
-0.621428	0.53804	-0.861075	-0.74836	
0.793476	0.620786	-0.557674	0.710016	
-0.0493568	0.126972	-0.710659	-0.826393	
-0.182175	1.50784	-0.128445	-0.0601767	
-0.896977	-0.842697	-0.465629	-0.543528	
-0.112297	-0.381578	-0.107515	-0.176312	
0.0574319	1.39422	0.053319	-0.220392	
0.223507	0.0527029	-0.316126	1.41574	
0.503422	-1.19364	0.608053	-0.628236	
-0.757491	-0.801733	0.786625	0.425207	
0.641932	-0.36589	-0.160466	0.258239	
-0.469735	0.928859	-0.631532	-0.948988	
-0.463864	0.125168	-0.878374	-0.3945	
-0.0788092	-1.56222	-0.183592	0.385344	
1.38178	0.2843	-0.0271823	0.0621198	
0.139257	0.310395	0.288921	0.367481	
-1.20702	-0.783184	0.266314	-1.10127	
1.50017	0.197608	0.0617708	-0.339742	
0.158187	-0.920045	-0.0972613	0.172919	
0.256607	-1.27616	0.402988	0.355731	
-1.30739	-0.336667	-0.277283	0.208203	
-0.643586	0.168752	-0.672446	0.199822	
-1.75524	0.228683	-0.809419	-0.182748	
-0.0907411	-0.164564	-0.686184	-0.440477	
-0.4678	0.414946	0.324004	0.195078	
0.953684	0.316531	0.645844	-0.685496	
-0.507247	-0.0378847	0.181747	-0.465283	
0.478021	-0.210176	-1.01314	-0.554216	
0.914217	-0.103106	-0.030145	-0.86137	
0.271492	0.717177	0.456032	-0.264033	
0.589945	-1.39329	-0.678971	-0.848911	
-0.177931	-1.10892	0.00891353	0.884356	
-1.00647	0.818438	0.314675	0.623103	
0.651749	-0.391455	-0.165845	-0.0814366	
-1.1522	0.253731	0.190087	-0.570335	
0.554063	0.261643	-0.293754	0.00791866	
-0.919246	0.0538183	0.227469	-0.614977	
-0.974152	-1.06421	-0.385103	-0.0992582	
0.967571	-1.22916	0.212112	-0.0069258	
-0.725963	-2.03446	-0.282999	-0.357239	
-0.578276	-1.94842	-0.21071	-1.0048	
0.844438	-0.850104	-0.741747	0.309271	
-0.203444	-1.05749	0.31259	0.312595	
0.296782	-0.494325	-0.044641	-0.255878	
-0.563862	-1.35523	-0.269936	0.0963601	
-0.453573	1.18878	-0.131957	0.878254	
-1.07765	-0.105387	-0.0625438	-1.00763	
0.257792	-1.0486	0.60063	0.0808352	
-1.37906	-0.360139	-0.087411	-0.244471	
-1.0461	2.04014	-0.10275	-0.0731132	
-0.91266	-1.20215	-0.311237	-0.325167	
0.451239	0.118049	0.254647	-0.196618	
0.527673	1.10104	-0.114141	-0.674335	
-1.96053	0.453846	0.649572	0.147456	
-0.457798	-1.60625	0.0243156	-0.633755	
0.328568	-0.383237	-0.336896	-0.735534	
0.425047	-0.46866	0.391233	-0.0735378	
-0.630551	-0.856226	0.302086	-0.413653	
0.775787	0.358903	-0.399798	0.411373	
-1.17329	-0.191206	-0.31484	-0.449755	
0.445107	0.123645	-0.302762	0.700939	
-0.0709675	0.761106	0.883279	-0.228163	
0.614405	1.06557	0.88808	-0.315761	
-0.357077	-0.864136	-0.294445	0.0784453	
-0.165191	0.239305	0.0529816	-0.198298	
0.716121	-1.04509	-0.111776	-0.407341	
-0.408532	0.00891699	0.0159167	0.233017	
-0.824573	0.310395	-0.321257	-0.471303	
0.0874937	1.53609	0.423282	-0.397562	
0.0786752	0.193142	0.622833	0.731274	
0.589742	-0.0967053	-0.315632	0.323072	
