FD[0]	FD[1]	FD[2]	FD[3]	
-0.418563	-1.68203	0.197928	1.5182	
1.26011	-2.48032	0.181672	0.39382	
0.80263	-0.527135	-0.101928	-0.35457	
0.747078	-0.222897	0.0787523	0.51486	
-0.215045	0.759878	0.693549	-0.0121408	
-0.0702233	-1.5984	-0.425045	-0.181016	
0.639632	-0.151282	-0.369449	0.671324	
-0.648784	-1.75886	0.18843	0.370579	
-0.160526	-0.0943101	0.505481	-1.1805	
0.175763	-0.475537	0.450104	0.072176	
0.241828	0.100419	-0.207617	0.516404	
-0.118051	-1.20148	-0.247751	-1.36377	
-0.0486189	-0.677267	-0.105154	1.0924	
-1.59114	-0.910647	-0.569663	0.318855	
-1.25025	0.495406	0.058421	-0.0127042	
-0.0323949	-0.181537	0.11193	-0.0935196	
0.460384	0.00276859	0.219564	0.325368	
-0.480872	-2.61441	0.549149	-1.47711	
-0.329289	-1.31966	0.0180792	-1.06394	
0.427163	0.396865	-0.353539	-0.0125507	
0.507072	1.05914	0.344517	0.517762	
-0.329289	1.36393	0.774448	0.0631163	
-0.721876	1.74078	0.549149	-0.36735	
0.944445	-0.751283	-0.621805	-0.512629	
0.355041	1.46535	-0.168702	0.0839814	
0.833115	0.453642	0.120782	1.30536	
-0.480872	-0.701392	-0.497155	-0.960874	
0.958701	0.466809	-0.505797	0.930224	
1.31919	-0.151282	0.242387	0.692169	
-0.299625	0.89293	0.556676	0.57856	
-0.400064	1.83988	0.250786	0.198229	
0.256087	0.759878	0.785171	0.072176	
0.59208	1.78009	0.606424	-0.247211	
0.754547	-0.892353	0.230186	0.944389	
0.59208	0.685506	0.209244	-0.559748	
0.29098	-0.923937	0.0983956	-0.0130421	
0.136051	0.551339	-1.20673	0.473108	
0.794994	-0.296281	-0.502429	-0.163528	
-1.53612	0.0908188	0.0699848	0.222479	
0.395474	1.27179	0.00934315	1.38417	
-0.129815	-0.896179	0.178376	0.834902	
-1.07814	0.708787	-0.0987995	0.049735	
-0.798569	1.2828	-1.01559	-0.84346	
-0.129815	-1.41138	0.0094437	-0.539142	
-0.980497	-0.737818	0.196724	-0.802642	
-0.803959	-0.151282	0.367344	0.720472	
-0.203326	1.56589	0.58201	0.171077	
1.07067	0.89293	0.936282	0.171077	
0.0199894	-1.36729	-0.260821	0.0987753	
0.019719	-0.721526	0.695596	-0.970106	
-1.90067	0.495406	1.48665	-0.644126	
-0.240553	0.59637	0.906795	0.072176	
-1.02526	0.59637	-0.0671239	0.260967	
0.183883	0.495406	-0.627496	1.16186	
0.250221	-0.661341	-0.104157	0.119949	
0.148393	0.432619	-0.471608	0.790514	
0.019719	1.27179	-0.0411543	0.108682	
0.793024	0.591552	0.816222	-0.0854937	
0.523065	-0.691142	0.00347088	-0.940593	
-0.0868302	0.38001	-0.544415	-0.35457	
-0.602431	-1.07328	-0.43252	0.15015	
-0.292305	0.333748	-0.114728	0.77836	
-0.438762	-0.0477638	-0.760033	-0.7425	
0.884264	0.222544	0.247395	0.517762	
-0.143748	1.00159	-0.619418	-0.951747	
