FF[0]	FF[1]	FF[2]	FF[3]	
-1.66831	0.78621	1.39821	-0.595977	
-0.476241	0.604962	0.934232	0.194447	
-1.27401	0.0291548	-0.026212	0.191879	
0.0976431	0.8407	-0.825725	1.34395	
-0.134376	-1.13117	-0.0358258	0.224701	
0.261735	0.291078	-0.632538	0.902288	
0.350835	1.27789	0.00963809	0.174946	
0.395456	0.636939	0.953246	-0.333021	
0.725139	-0.61622	-0.0417712	-1.07111	
0.127146	0.367585	-0.477206	-0.426397	
-0.356062	-1.4187	-0.30249	0.0919427	
-0.447418	0.390656	-0.0906841	0.991681	
-0.618894	0.133667	-0.978362	-0.90798	
1.04001	0.400878	-0.0527981	0.702512	
-0.134044	0.923314	-0.801615	-1.11486	
-0.165109	1.66651	-0.0233703	-0.745509	
-0.939689	-1.38553	-1.57235	-0.291838	
0.35302	-1.17025	0.263977	-0.985264	
-0.699922	1.75864	-0.585787	-0.0867177	
-0.0821493	0.111943	-0.39943	1.92713	
-0.014197	-1.44828	0.385633	-0.917283	
-0.885702	-0.179038	1.01639	0.406784	
0.16368	-0.0399672	-0.746808	0.485653	
0.128908	1.1589	-0.610984	-1.45566	
-0.505745	0.13291	-0.729304	-0.866323	
0.216267	-2.32229	0.0362899	0.934654	
1.38144	0.759377	0.390917	0.0117488	
0.263225	0.186822	0.538664	0.811205	
-1.42618	-1.07877	0.488453	-2.20877	
1.68076	0.133224	0.616821	-0.008539	
0.808575	-0.217959	-0.260055	0.567859	
1.01651	-2.11826	-0.122493	0.493848	
-1.55538	0.34299	-0.479646	0.065143	
-0.129125	1.24001	-0.732263	0.175628	
-2.1424	-0.0107362	-0.661291	0.157234	
-0.150633	0.414492	-0.750697	-0.534014	
-0.988339	0.633896	0.398706	0.317218	
1.12699	0.194052	0.139126	-0.697352	
-0.0301012	0.825151	0.772883	-0.363313	
0.356121	-0.334723	-1.51428	-1.48368	
1.2963	-0.443034	0.191964	-0.599212	
0.0706447	0.944026	0.524029	-0.430215	
0.932355	-2.47539	-0.723513	-1.2294	
-0.0267431	-0.451092	0.0113009	1.03156	
-0.583383	0.944385	1.1019	1.15394	
0.918528	-0.262393	0.198136	-0.118105	
-1.37502	-0.0975225	0.253142	-0.494588	
0.389019	0.534832	-0.28489	0.0747981	
-2.05473	-0.577103	-0.00262918	-0.175889	
-1.11589	-0.728853	-0.154384	-0.410145	
1.30759	-1.92178	-0.193398	-0.130584	
-1.66112	-1.47457	-0.0876421	-0.505924	
-1.25463	-1.88424	-0.482409	-0.945292	
0.206695	-1.08133	-0.435903	0.0586449	
-1.61779	-1.23028	0.50488	0.194632	
-0.531258	-0.960307	-0.382774	-0.621749	
-0.474912	-1.6537	-0.316943	0.559533	
-0.417814	1.41033	-0.0698174	0.996217	
-1.0367	-0.16764	0.0564673	-1.28936	
0.603272	-1.13617	1.30564	0.319486	
-1.92984	0.285401	-0.346137	-0.454554	
-1.00878	1.82328	0.233209	-0.202945	
-1.55319	-1.1863	-0.194683	-0.42446	
0.0673577	-0.0551234	0.737622	-0.744133	
0.477517	1.06934	-0.249846	-0.565472	
-2.76936	-0.215579	0.396269	0.731508	
0.0252559	-2.19516	-0.114751	-0.49011	
-0.0508356	-0.918964	-0.427556	-0.847147	
0.306867	0.0105704	0.750601	0.0111897	
-0.53142	-1.32055	-0.300257	0.172036	
1.10257	0.451128	-0.625536	-0.0562269	
-1.38411	-0.392879	-0.272091	-0.79982	
-0.228343	1.69398	-0.441449	0.81799	
-0.401865	0.905924	0.296136	-0.638615	
0.151521	0.862317	0.964501	-0.543168	
