D_Dmin[0]	D_Dmin[1]	D_Dmin[2]	D_Dmin[3]	
0.125597	-0.404779	0.289737	-0.0480746	
-0.502833	-0.0589066	-0.131824	-0.153357	
0.0581339	0.124857	-0.135914	0.0962496	
-0.0370913	0.959405	-0.10086	0.0594009	
0.257239	0.241002	0.167214	0.0225521	
-0.127504	-0.547551	-0.247871	-0.216965	
-0.236102	-0.731116	-0.00849897	-0.328827	
-0.150487	0.544358	0.186682	-0.0540663	
-0.244122	0.124857	0.180322	0.168272	
-0.424255	-0.754982	0.0220956	-0.0393011	
-0.0448106	0.628816	-0.276277	0.435565	
-0.274501	-0.779677	0.0384909	0.149934	
0.127439	-0.131298	-0.214155	0.279076	
0.283374	0.303052	0.0347299	0.0997042	
-0.219733	0.190443	0.254948	-0.323259	
0.300191	-0.0186889	-0.0361441	-0.334211	
0.165934	0.0529717	-0.0395773	-0.151163	
0.0956931	-0.720774	0.0317227	-0.0467395	
-0.197118	0.147927	-0.000261363	0.412534	
-0.223885	0.276728	-0.31506	-0.337432	
0.288233	0.31419	-0.202456	0.318295	
-0.0182952	0.0677791	-0.259581	-0.374339	
-0.0685121	0.726679	-0.0468316	-0.0271936	
-0.341225	-0.469127	-0.17062	-0.252188	
-0.042033	-0.20369	-0.0390984	-0.0787819	
0.0211573	0.758087	0.0195376	-0.103348	
0.0836591	0.0255505	-0.114634	0.639768	
0.184505	-0.591199	0.221488	-0.280298	
-0.285616	-0.4088	0.284455	0.188135	
0.23449	-0.20369	-0.0586489	0.116977	
-0.173294	0.47011	-0.23046	-0.428845	
-0.171128	0.0617464	-0.322796	-0.178273	
-0.0294345	-1	-0.0667008	0.174553	
0.5172	0.158269	-0.00987448	0.0286936	
0.0535602	0.158269	0.105004	0.165695	
-0.44667	-0.449822	0.0968347	-0.508684	
0.539881	0.110008	0.0224842	-0.153188	
0.0586356	-0.469127	-0.0354336	0.0798724	
0.096755	-0.710433	0.146932	0.158952	
-0.507324	-0.167494	-0.101553	0.0931789	
-0.239417	0.0824298	-0.244225	0.0895787	
-0.651758	0.122073	-0.294975	-0.0820719	
-0.0330189	-0.0806241	-0.250543	-0.198199	
-0.177959	0.199636	0.118133	0.0901081	
0.354123	0.158269	0.236309	-0.309086	
-0.188351	-0.0186889	0.0659674	-0.216965	
0.177826	-0.107168	-0.369993	-0.249378	
0.335465	-0.050863	-0.0109696	-0.391195	
0.0989742	0.368863	0.165644	-0.119315	
0.215728	-0.710433	-0.248668	-0.38056	
-0.0652119	-0.531866	0.00324885	0.402764	
-0.371308	0.409227	0.114287	0.279835	
0.235226	-0.198122	-0.0603749	-0.037327	
-0.430337	0.122073	0.0689178	-0.25902	
0.206114	0.126095	-0.106955	0.00364292	
-0.339638	0.0279636	0.082821	-0.276186	
-0.366357	-0.529453	-0.139865	-0.0446627	
0.359279	-0.656139	0.0772872	-0.00311037	
-0.265185	-1	-0.102805	-0.159388	
-0.213658	-0.951739	-0.0765277	-0.450446	
0.313557	-0.462232	-0.274063	0.136977	
-0.0745626	-0.50877	0.113972	0.145765	
0.108411	-0.259995	-0.0163264	-0.115631	
-0.21154	-0.674237	-0.0979295	0.0430567	
-0.165515	0.571936	-0.0479579	0.396	
-0.398795	-0.053338	-0.022874	-0.450241	
0.0934934	-0.539325	0.218423	0.0379058	
-0.516182	-0.177019	-0.0317176	-0.117166	
-0.394438	1.17175	-0.0375097	-0.032721	
-0.352519	-0.618298	-0.112979	-0.152479	
0.165579	0.0587301	0.092877	-0.087994	
0.197081	0.566295	-0.041645	-0.309086	
-0.745819	0.238704	0.235634	0.0664872	
-0.167591	-0.81902	0.00885989	-0.281992	
0.120282	-0.197109	-0.122628	-0.329734	
0.155429	-0.230361	0.142139	-0.032721	
-0.239115	-0.457061	0.109679	-0.190298	
0.287087	0.184593	-0.145544	0.191826	
-0.438212	-0.0923182	-0.114666	-0.202792	
0.163328	0.059816	-0.110047	0.312736	
