thetaWatt[0]	thetaWatt[1]	thetaWatt[2]	thetaWatt[3]	
10.8541	4.9488	32.6702	7.6162	
6.05808	4.9488	36.1514	6.95392	
16.6597	3.88834	26.7788	8.60962	
13.6307	4.59531	40.4361	9.60304	
9.33953	2.82789	28.9211	7.94734	
7.5726	9.54412	31.599	8.27848	
6.56292	2.12091	25.1721	5.62937	
8.07743	2.82789	36.4192	10.2653	
10.3492	2.4744	25.1721	4.96709	
8.07743	8.48366	43.6495	8.27848	
11.3589	6.00926	33.2058	10.5965	
7.32018	4.24183	54.0933	12.9144	
12.1162	2.12091	28.1178	7.94734	
10.0968	4.59531	30.2601	8.27848	
10.0968	6.36274	22.4942	8.27848	
8.32985	1.06046	38.5615	7.94734	
8.07743	2.12091	38.8293	5.96051	
5.80566	4.24183	37.7582	8.60962	
9.59195	1.76743	36.687	5.96051	
17.1645	2.12091	34.5447	8.60962	
9.33953	4.24183	32.938	5.96051	
7.32018	2.12091	31.599	10.2653	
5.30082	5.65577	25.7077	9.93418	
8.83469	7.4232	39.3649	9.60304	
9.08711	2.82789	32.4024	9.2719	
13.1258	7.06972	29.4567	8.94076	
6.56292	9.8976	31.599	5.96051	
9.08711	5.30229	26.7788	8.60962	
9.08711	6.36274	40.9716	5.29823	
8.83469	4.24183	29.1889	8.94076	
11.1065	6.36274	35.0803	7.6162	
12.621	3.88834	39.0971	8.27848	
11.8637	4.24183	25.7077	9.60304	
11.3589	10.6046	32.1346	7.28506	
10.0968	5.30229	39.3649	9.2719	
15.9024	4.59531	34.2769	6.62279	
8.32985	9.8976	44.1851	7.6162	
8.83469	9.54412	34.0091	6.29165	
9.84437	3.53486	34.0091	9.2719	
7.5726	5.65577	39.3649	8.94076	
9.08711	2.82789	32.6702	9.2719	
12.1162	6.71623	38.8293	10.5965	
9.84437	7.4232	39.3649	9.60304	
9.08711	2.4744	18.7452	12.5833	
11.3589	9.8976	31.599	5.29823	
12.1162	3.18137	27.3144	8.27848	
7.82501	5.65577	42.3106	10.2653	
12.3686	9.8976	37.7582	8.60962	
9.59195	4.59531	27.3144	10.2653	
14.1355	3.88834	36.4192	4.96709	
8.07743	6.71623	41.775	3.97367	
7.32018	1.76743	29.7245	9.93418	
5.55324	3.88834	40.7038	4.96709	
11.1065	5.65577	31.0635	9.93418	
8.32985	3.88834	30.5279	6.62279	
6.56292	3.18137	42.5784	8.60962	
11.6113	4.24183	32.6702	11.2587	
11.6113	3.88834	34.5447	9.60304	
11.8637	6.71623	38.5615	11.2587	
6.81534	2.82789	40.1683	6.29165	
9.59195	3.88834	34.2769	5.29823	
8.32985	9.19063	33.4736	8.60962	
11.1065	8.83714	37.4904	10.5965	
8.07743	2.12091	31.3312	8.94076	
12.1162	3.18137	41.2394	13.5767	
5.0484	5.65577	44.9885	8.27848	
12.8734	6.36274	32.4024	8.60962	
7.32018	7.4232	26.2433	13.5767	
7.06776	5.65577	29.9923	12.9144	
7.82501	4.24183	32.938	10.9276	
5.80566	3.88834	30.5279	14.9013	
12.3686	3.53486	42.0428	9.60304	
10.6016	3.18137	33.2058	8.27848	
14.6404	2.4744	36.4192	6.95392	
7.32018	2.12091	37.4904	9.2719	
9.33953	5.30229	28.9211	6.29165	
7.82501	0.706972	44.7207	5.29823	
11.6113	8.13017	32.4024	9.60304	
11.3589	6.71623	24.9043	6.62279	
9.33953	2.4744	40.7038	5.62937	
9.33953	5.65577	35.3481	8.94076	
11.1065	2.4744	29.1889	6.95392	
8.58227	6.71623	35.6159	8.94076	
9.84437	3.53486	36.4192	2.98025	
10.8541	4.24183	28.9211	6.29165	
6.05808	6.00926	40.7038	8.94076	
10.0968	6.36274	31.8668	10.2653	
9.08711	8.48366	44.4529	5.96051	
5.30082	6.00926	40.9716	8.27848	
8.07743	2.82789	47.1308	7.6162	
11.6113	1.76743	39.9005	6.95392	
10.6016	5.65577	44.1851	9.2719	
