thetaL[0]	thetaL[1]	thetaL[2]	thetaL[3]	
13.2069	3.77778	30.6957	11.3636	
9.51724	2.66667	32.3043	8.63636	
12.6897	2.55556	37.6522	6.90909	
10.7931	2.22222	42.9565	10.2727	
15.4483	3.66667	29.6087	5.72727	
2.93103	5.66667	22.2174	11.7273	
20.931	14	40.3478	8.27273	
7.37931	2.88889	51.4348	6.27273	
14.5862	4.66667	13.3913	6.54545	
7.48276	4	36.5652	12.0909	
11.2414	6.66667	40.913	10.3636	
7.31034	8.44444	35.1739	7.81818	
7.65517	6	32.0435	5.90909	
15.6552	9.88889	40.2609	8.45455	
17	4.66667	35.5217	7.90909	
14.3448	2	32.2609	9.45455	
10.9655	1.22222	29.9565	10	
14.069	9.44444	31.9565	7.36364	
12.069	2.44444	47.087	6	
10.8276	3.77778	41.1304	7.54545	
14.5172	4.33333	51.3043	8.81818	
7.96552	1.77778	23.8261	8.36364	
7.44828	2.77778	47.9565	6.09091	
10.6897	3.44444	40.087	6.72727	
16.5172	7.44444	34.2174	10.1818	
6.41379	12.3333	28.4348	7.63636	
20.3448	6.66667	37.2174	4.81818	
12.4138	2.88889	34.3043	10.0909	
8.89655	3.66667	51.2174	8	
9.75862	6	38.8261	6.36364	
9.37931	5.88889	32.3043	6.72727	
5.37931	1.44444	42.6957	3.72727	
6.7931	10.4444	44.1304	4.45455	
10.7586	10.2222	32.3478	7.45455	
15.5517	9	33.6957	10.4545	
8.24138	1.22222	39.2609	8.27273	
6.75862	6.33333	50.9565	8.27273	
13.4138	4.77778	24.913	8.63636	
8.93103	6.88889	35.2174	12.6364	
10.8621	3.44444	35.4348	9.63636	
4.13793	4.22222	28.8261	13.4545	
18.5862	5.33333	32.5217	14.8182	
11.5517	4.77778	29.6522	8.90909	
10.8966	2.88889	30.1304	9.72727	
7.58621	9.77778	37.9565	7.18182	
15	2	42.7826	9.63636	
9.7931	6	27.1739	6.72727	
12.3103	8	44.4348	6.27273	
9.82759	5.11111	38.087	8.36364	
8.58621	1.11111	35.9565	10.6364	
6.93103	7.66667	34.6087	11.5455	
6.10345	6.66667	25.1739	6.81818	
10.7931	3	46.6957	6.90909	
11.3448	1.22222	32.2609	11.3636	
10.3793	4.55556	40.4348	11.5455	
4.10345	9.33333	24.8696	10.7273	
6.62069	8.22222	23.7391	8.63636	
10.6207	2	50.5652	7.63636	
7.24138	4	31.5217	5.63636	
5.65517	4.22222	30.9565	6.72727	
6.7931	16	37.2609	5.81818	
10.3448	3	38.3913	6.36364	
10.8966	4	27.7826	6.18182	
7.96552	5.55556	32.3478	7.09091	
5.51724	4.66667	34.5217	13.0909	
13.7586	4.66667	50.5217	7.36364	
3	9	38.1739	6.72727	
4.55172	5	16.2609	8.18182	
11.2759	12	31.8261	8.81818	
6.24138	5.22222	34.6522	9.18182	
11.931	1.11111	32.8261	9.27273	
3.27586	3.22222	33.913	10.2727	
3.96552	8.22222	54.2174	6.45455	
8.75862	3.22222	25.3043	9.27273	
10.2759	5.88889	34.1739	7.18182	
3.41379	4.11111	36.4348	8.81818	
15	4.22222	22.0435	10.2727	
14.1724	4.55556	47.0435	9.45455	
7.93103	2.55556	29.2609	4.63636	
7.72414	11.2222	31.6522	6.63636	
6.2069	1.11111	17.7826	6.09091	
5.82759	2	37	9.54545	
9.44828	2.66667	22.0435	4.81818	
7.24138	7.33333	44.6957	12.3636	
14.5517	5.44444	36.8261	9.09091	
4.31034	5.88889	62.5652	14.3636	
12.2759	2.55556	24.1304	7.36364	
11.3103	7	36.087	8	
10.7241	5.33333	19.913	7.27273	
8.44828	0.333333	35.3043	8.72727	
10.3103	1.55556	53.4783	6.45455	
5.82759	3.55556	34.6522	7	
6.44828	0.888889	39.2609	3.63636	
19.1379	1.77778	35.1304	9	
9.86207	5.77778	29.1739	6.81818	
6.31034	0.888889	33.913	10.4545	
2.03448	4.66667	23.1739	9.45455	
9.10345	7.77778	37.7826	9.09091	
7	2.44444	27.3913	10.4545	
14.2414	7.88889	24.3913	8	
3.68966	9.55556	32.913	7.54545	
9.62069	6.11111	28.8696	7.54545	
6.44828	8.22222	40.6087	6.18182	
9.65517	3.77778	26.3043	6.09091	
13.1034	4.88889	27.7826	8.45455	
13.4483	4.11111	37.3913	8.36364	
13.1034	1.77778	17.913	10	
13.1724	16.1111	29.1739	8.09091	
9.24138	4.55556	39.5652	13.3636	
18.3103	4.11111	32.8261	5.72727	
4.96552	9.66667	47.0435	6	
8.41379	9	28.4783	5.45455	
