Total	ZnA[Total]	thetaWatt[Total]	ThetaTaj[Total]	Rm[Total]	ZnA[0]	thetaWatt[0]	ThetaTaj[0]	Rm[0]	
-14.9547	-2.27887	-4.08044	-5.05146	-3.54391	-2.27887	-4.08044	-5.05146	-3.54391	
-16.7608	-2.54593	-4.08044	-5.31852	-4.81589	-2.54593	-4.08044	-5.31852	-4.81589	
-13.1458	-1.88322	-3.66516	-3.93223	-3.66516	-1.88322	-3.66516	-3.93223	-3.66516	
-13.1458	-1.88322	-3.66516	-3.93223	-3.66516	-1.88322	-3.66516	-3.93223	-3.66516	
-13.1458	-1.88322	-3.66516	-3.93223	-3.66516	-1.88322	-3.66516	-3.93223	-3.66516	
-13.1458	-1.88322	-3.66516	-3.93223	-3.66516	-1.88322	-3.66516	-3.93223	-3.66516	
-13.1458	-1.88322	-3.66516	-3.93223	-3.66516	-1.88322	-3.66516	-3.93223	-3.66516	
-13.1458	-1.88322	-3.66516	-3.93223	-3.66516	-1.88322	-3.66516	-3.93223	-3.66516	
-13.1458	-1.88322	-3.66516	-3.93223	-3.66516	-1.88322	-3.66516	-3.93223	-3.66516	
-13.1458	-1.88322	-3.66516	-3.93223	-3.66516	-1.88322	-3.66516	-3.93223	-3.66516	
-13.1458	-1.88322	-3.66516	-3.93223	-3.66516	-1.88322	-3.66516	-3.93223	-3.66516	
-13.1458	-1.88322	-3.66516	-3.93223	-3.66516	-1.88322	-3.66516	-3.93223	-3.66516	
-13.1458	-1.88322	-3.66516	-3.93223	-3.66516	-1.88322	-3.66516	-3.93223	-3.66516	
-13.1458	-1.88322	-3.66516	-3.93223	-3.66516	-1.88322	-3.66516	-3.93223	-3.66516	
-13.1458	-1.88322	-3.66516	-3.93223	-3.66516	-1.88322	-3.66516	-3.93223	-3.66516	
-13.1458	-1.88322	-3.66516	-3.93223	-3.66516	-1.88322	-3.66516	-3.93223	-3.66516	
-13.1458	-1.88322	-3.66516	-3.93223	-3.66516	-1.88322	-3.66516	-3.93223	-3.66516	
-13.1458	-1.88322	-3.66516	-3.93223	-3.66516	-1.88322	-3.66516	-3.93223	-3.66516	
-15.7391	-1.88322	-5.99146	-5.31852	-2.54593	-1.88322	-5.99146	-5.31852	-2.54593	
-14.9907	-1.735	-5.31852	-4.81589	-3.1213	-1.735	-5.31852	-4.81589	-3.1213	
-14.9907	-1.735	-5.31852	-4.81589	-3.1213	-1.735	-5.31852	-4.81589	-3.1213	
-14.9907	-1.735	-5.31852	-4.81589	-3.1213	-1.735	-5.31852	-4.81589	-3.1213	
-13.6125	-1.68794	-4.41455	-4.81589	-2.69415	-1.68794	-4.41455	-4.81589	-2.69415	
-13.6125	-1.68794	-4.41455	-4.81589	-2.69415	-1.68794	-4.41455	-4.81589	-2.69415	
-13.6125	-1.68794	-4.41455	-4.81589	-2.69415	-1.68794	-4.41455	-4.81589	-2.69415	
-13.6125	-1.68794	-4.41455	-4.81589	-2.69415	-1.68794	-4.41455	-4.81589	-2.69415	
-14.4329	-2.15762	-3.79424	-4.81589	-3.66516	-2.15762	-3.79424	-4.81589	-3.66516	
-13.2029	-1.68794	-4.08044	-4.81589	-2.61867	-1.68794	-4.08044	-4.81589	-2.61867	
