Total	ZnA[Total]	thetaWatt[Total]	ThetaTaj[Total]	Rm[Total]	ZnA[0]	thetaWatt[0]	ThetaTaj[0]	Rm[0]	
-21.8558	-1.9885	-5.31852	-5.31852	-9.23024	-1.9885	-5.31852	-5.31852	-9.23024
-19.5439	-2.0433	-3.66516	-4.60517	-9.23024	-2.0433	-3.66516	-4.60517	-9.23024
-24.5988	-2.93935	-4.60517	-7.82405	-9.23024	-2.93935	-4.60517	-7.82405	-9.23024
-22.3728	-2.54593	-4.60517	-5.99146	-9.23024	-2.54593	-4.60517	-5.99146	-9.23024
-22.4905	-2.40795	-6.43775	-4.41455	-9.23024	-2.40795	-6.43775	-4.41455	-9.23024
-23.6052	-2.61867	-6.43775	-5.31852	-9.23024	-2.61867	-6.43775	-5.31852	-9.23024
-23.7792	-2.21733	-7.01312	-5.31852	-9.23024	-2.21733	-7.01312	-5.31852	-9.23024
-21.3255	-1.88322	-4.24053	-5.99146	-9.21034	-1.88322	-4.24053	-5.99146	-9.21034
-28.9588	-2.69415	-9.21034	-7.82405	-9.23024	-2.69415	-9.21034	-7.82405	-9.23024
-21.2333	-2.77259	-4.41455	-4.81589	-9.23024	-2.77259	-4.41455	-4.81589	-9.23024
-27.1156	-2.21733	-9.23024	-6.43775	-9.23024	-2.21733	-9.23024	-6.43775	-9.23024
-23.8768	-2.21733	-5.99146	-6.43775	-9.23024	-2.21733	-5.99146	-6.43775	-9.23024
-23.3945	-2.40795	-5.31852	-6.43775	-9.23024	-2.40795	-5.31852	-6.43775	-9.23024
-22.1372	-2.09964	-5.99146	-4.81589	-9.23024	-2.09964	-5.99146	-4.81589	-9.23024
