ZnA[0]	thetaWatt[0]	ThetaTaj[0]	Rm[0]	
0.209462	10.5933	12.5267	2	
0.142203	3.70767	3.78667	1	
0.00568182	1.85383	0.986667	0	
0.26501	25.6888	31.0933	1	
0.140852	9.00434	9.62	1	
0.230604	6.62084	7.22	0	
0.391368	5.03184	7.44	0	
0.144525	4.50217	3.68	1	
0.264075	4.767	4.52667	0	
0.35787	5.5615	6.48667	2	
0.604022	22.7757	34.1933	0	
0.452109	37.0767	54.22	6	
0.289466	43.6975	31.7667	1	
0.252278	15.6252	15.2467	0	
0.0451389	0.529667	0.6	0	
0.15423	8.7395	7.74667	0	
0.160671	14.8307	15.02	2	
0.360127	13.7713	11.5867	2	
0.152606	15.0955	16.2467	7	
0.0531496	5.82634	2.86667	0	
0.2293	25.424	28.86	1	
0.506579	0.7945	0.84	0	
0.507894	9.00434	8.13333	0	
0.271639	6.09117	7.7	0	
0.253577	10.5933	13.32	2	
0.739583	1.05933	1.8	0	
0.353037	0.7945	1.18667	0	
0.51373	0.7945	0.913333	0	
0.256739	8.7395	8.55333	1	
0.132957	2.91317	2.54667	0	
0.264233	6.62084	8.36667	3	
0.214837	15.89	18.3067	0	
0.24647	10.5933	8.97333	5	
0.252717	1.32417	0.62	0	
0.201531	10.3285	10.7333	0	
0.193413	14.301	14.5267	2	
0.404269	27.013	37.6467	1	
0.309972	11.6527	12.7667	0	
0.201589	17.479	19.86	0	
0.144492	8.7395	8.86667	0	
0.222924	3.44283	2.04	0	
0.258052	3.178	3.31333	0	
0.234924	19.3328	20.26	0	
0.209759	16.1548	15.2067	4	
0.150005	25.6888	25.8467	0	
1	0.529667	1	0	
0.268569	1.05933	0.946667	0	
0.177506	15.89	14.02	1	
0.275915	23.835	18.6	2	
0.113749	7.41534	5.72	1	
0.197702	8.47467	8.08667	0	
0.0422654	1.32417	0.906667	0	
0.37581	16.4197	17.4467	2	
0.209523	26.2185	26.4867	8	
0.0871212	12.4472	9.98667	3	
0.258472	17.7438	19.78	1	
0.301221	3.9725	4.39333	1	
0.245565	22.7757	27.0067	0	
0.196447	11.123	10.7667	7	
0.324179	11.6527	11.4667	2	
0.226755	12.4472	8.95333	0	
0.0566622	2.64833	2.44667	0	
na	0	0	0	
0.219246	27.013	29.3267	7	
0.176932	1.85383	2.36	2	
0.182115	13.7713	16.2333	0	
0.259587	11.6527	12.1533	6	
0.213527	14.8307	14.18	1	
0.301098	21.7163	21.9	5	
0.0829794	11.9175	7.24	0	
