ZnA[0]	ZnA[1]	ZnA[2]	ZnA[3]	
0.0338565	0.0405644	0.126475	0.174563	
0.125719	0.191468	0.042603	0.133471	
0.0686528	0.0154321	0.128867	0.144746	
0.0755883	0.137566	0.0466908	0.255475	
0.112103	0.533951	0.0513074	0.268994	
0.0679565	0.272266	0.0761878	0.177492	
0.196772	0.296296	0.0691926	0.131176	
0.00600342	0.0194004	0.111851	0.20405	
0.0604444	0.421759	0.0339744	0.326566	
0.16289	0.416226	0.140241	0.0941165	
0.195466	0.295767	0.144634	0.280138	
0.0770202	0.0771605	0.106409	0.147501	
0.0288466	0.341711	0.0434129	0.0913223	
0.0989865	0.338889	0.067424	0.123264	
0.0248232	0.260009	0.0436324	0.303899	
0.101476	0.552469	0.11014	0.188567	
0.0655314	0.1	0.0288131	0.26869	
0.153	0.100077	0.0250218	0.321625	
0.0429644	0.0802469	0.102942	0.269376	
0.239295	0.220811	0.0768323	0.220041	
0.038462	0.0291005	0.0481714	0.155647	
0.0178713	0.714286	0.100655	0.150826	
0.0853865	0.358025	0.0279706	0.14285	
0.070339	0.265604	0.171022	0.111	
0.113768	0.222222	0.0877072	0.256696	
0.114896	0.106481	0.124554	0.0870523	
0.0249056	0.24752	0.0909531	0.152737	
0.0198371	0.268739	0.120387	0.376966	
0.0312072	0.277778	0.0782088	0.0994318	
0.00700767	0.240174	0.0958113	0.331696	
0.137618	0.154321	0.0717557	0.0470332	
0.173092	0.0861993	0.0984295	0.123259	
0.14011	0.316358	0.0390444	0.336002	
0.0788116	0.209877	0.100101	0.236777	
0.0273463	0.223986	0.110909	0.162976	
0.0123254	0.37963	0.0392514	0.165263	
0.163285	0.183516	0.0317253	0.221517	
0.0563184	0.22963	0.112602	0.130183	
0.17478	0.21552	0.123082	0.178444	
0.0354112	0.02403	0.109058	0.156556	
0.0835201	0.0379189	0.0622249	0.140658	
0.0385551	0.12963	0.0403386	0.103965	
0.276818	0.433333	0.108898	0.0842149	
0.0735295	0.139275	0.131354	0.376136	
0.0693767	0.162335	0.10695	0.133161	
0.140228	0.388801	0.0976235	0.109253	
0.277917	0.212963	0.103364	0.142885	
0.0601018	0.161596	0.0463817	0.421214	
