Ttot[0]	Ttot[1]	Ttot[2]	Ttot[3]	
0.747481	0.438297	0.413052	0.32374	
0.749936	0.421007	0.518498	0.401189	
0.677308	0.523071	0.520355	0.341154	
0.741169	0.747238	0.413851	0.45873	
0.876387	0.587023	0.606427	0.407979	
0.600256	0.267087	0.560876	0.322315	
0.654127	0.377872	0.450808	0.349676	
0.787081	0.370624	0.54766	0.324845	
0.588901	0.45091	0.599269	0.423445	
0.69958	0.680707	0.527792	0.358248	
0.861886	0.653613	0.506922	0.265927	
0.843715	0.42937	0.476253	0.320837	
0.755365	0.276489	0.506644	0.388039	
0.734083	0.494236	0.516833	0.390825	
0.623157	0.27195	0.456568	0.374161	
0.738583	0.614656	0.438114	0.355912	
0.76032	0.335958	0.395202	0.338327	
0.782511	0.440713	0.516005	0.326845	
0.88268	0.298321	0.440392	0.365062	
0.818172	0.36974	0.51462	0.347853	
0.491762	0.548808	0.545575	0.315365	
0.725403	0.620714	0.541226	0.451955	
0.803689	0.59798	0.436673	0.357386	
0.654108	0.317236	0.566929	0.445155	
0.675769	0.425547	0.524403	0.332744	
0.550342	0.379253	0.634652	0.288018	
0.752525	0.481264	0.544439	0.362753	
0.72731	0.31373	0.711826	0.364669	
0.627451	0.436294	0.486913	0.341761	
0.64594	0.584416	0.52544	0.359593	
1.00093	0.429586	0.529768	0.474569	
0.792017	0.297451	0.698497	0.383612	
0.790492	0.463867	0.44266	0.390405	
0.599541	0.426877	0.635354	0.360478	
0.662044	0.428168	0.49386	0.415623	
0.786315	0.415049	0.530025	0.656945	
0.890153	0.322502	0.521486	0.458936	
0.615498	0.291779	0.496537	0.334057	
0.695123	0.34327	0.456056	0.387122	
0.686427	0.531174	0.513051	0.354404	
0.72674	0.415028	0.597054	0.272264	
0.743218	0.389437	0.420416	0.327162	
0.677945	0.469735	0.595694	0.301353	
0.777883	0.454199	0.457301	0.36879	
0.627395	0.587157	0.633262	0.483073	
0.875728	0.383459	0.497397	0.506386	
1.28348	0.369583	0.549671	0.354402	
0.652137	0.379142	0.540314	0.555923	
0.65531	0.483177	0.572075	0.403078	
0.917041	0.392058	0.42762	0.36199	
0.517985	0.468102	0.563255	0.383677	
0.755254	0.408055	0.544552	0.355858	
0.676529	0.322498	0.587393	0.420476	
0.737706	0.363196	0.576471	0.398421	
