mlcoalsim version 094beta (20060404)
OUTPUT FILE: date Wed Apr  5 11:20:41 2006 

Input data from the file: /Users/user/Documents/WorkatUB/mlcoal/mlcoalsim094/build/input.txt

Print_neuttest:        1
Print_matrixpol:       0
N_iterations:          1000
Seed1:                 111

N_loci:                1
Factorn_chr:           1.000000
N_sites:               1000
N_samples:             20
Thetaw:                5
Recombination:         10


Neutral tests (excluding multiple hits positions)
value(TD)	value(Fs)	value(FD*)	value(FF*)	value(FD)	value(FF)	value(H)	value(B)	value(Q)	value(ZA)	value(Fst)	value(Kw)	value(Hw)	value(R2)	value(S)	value(pi_w)	value(pi_b)	value(ThetaWatt)	value(ThetaTaj)	value(ThetaFW*)	value(D/Dmin)	value(H/Hmin)	value(maxhap)	value(maxhap1)
0.70745	0.695	1.1635	1.1968	1.3119	1.3555	3.4842	0.21739	0.29167	0.31575	na	0.5	0.93684	0.16309	24	0	0	6.7649	8.0053	4.5211	0.28418	0.080653	0.15	0.2	
-1.456	-1.1874	-1.4114	-1.6518	-0.29369	-0.78561	-6.5053	0.18182	0.25	0.2371	na	0.35	0.69474	0.11046	12	0	0	3.3824	2.0105	8.5158	-0.62861	-0.30117	0.55	0.65	
0.43426	-0.84034	0.2414	0.34576	0.19466	0.32687	0.49474	0.13333	0.25	0.19751	na	0.5	0.90526	0.14704	16	0	0	4.5099	5.0368	4.5421	0.18108	0.017178	0.25	0.3	
-0.68186	-3.1475	0.21631	-0.058942	0.16373	-0.1411	-0.92632	0.16667	0.25806	0.24823	na	0.7	0.94737	0.10575	31	0	0	8.738	7.2211	8.1474	-0.26905	-0.016601	0.2	0.25	
0.042813	-2.7001	0.45689	0.38887	0.45788	0.39157	3.9579	0.14815	0.28571	0.26329	na	0.7	0.95263	0.13469	28	0	0	7.8923	7.9789	4.0211	0.017006	0.07853	0.2	0.2	
0.40014	-2.1916	-0.075876	0.076119	-0.19395	0.0020206	-0.71579	0.14286	0.2069	0.31896	na	0.7	0.95789	0.14381	29	0	0	8.1742	9.0105	9.7263	0.15857	-0.013712	0.15	0.15	
0.18439	0.64604	0.31456	0.32118	0.28246	0.30432	-2.2211	0.3	0.47619	0.35654	na	0.45	0.89474	0.13985	21	0	0	5.9193	6.2053	8.4263	0.074884	-0.058758	0.25	0.3	
-0.08803	-2.4912	0.027474	-0.0077379	-0.064738	-0.087914	-0.042105	0.26087	0.375	0.32697	na	0.65	0.95263	0.12542	24	0	0	6.7649	6.6105	6.6526	-0.035361	-0.00097466	0.15	0.15	
0.52677	-0.16842	-0.52854	-0.2565	-0.71126	-0.38778	-0.44211	0.21429	0.33333	0.29851	na	0.45	0.84737	0.14585	15	0	0	4.228	4.8316	5.2737	0.22123	-0.016374	0.35	0.45	
-0.068902	-3.0955	-0.49086	-0.42821	-0.64227	-0.56036	0.78947	0.11111	0.2	0.17169	na	0.5	0.83158	0.12474	10	0	0	2.8187	2.7632	1.9737	-0.030537	0.04386	0.4	0.45	
1.0557	-1.6569	0.417	0.69955	1.2471	1.4313	-2.0421	0.23077	0.42857	0.36738	na	0.55	0.92105	0.17423	14	0	0	3.9462	5.0842	7.1263	0.44696	-0.081036	0.2	0.2	
-1.0817	-3.7943	-1.8218	-1.8644	-2.1959	-2.2259	-0.22105	0	0	0.081536	na	0.5	0.86316	0.089399	12	0	0	3.3824	2.3632	2.5842	-0.46704	-0.010234	0.3	0.55	
-0.24947	-0.70107	0.22999	0.10587	0.18187	0.058194	-1.9158	0.18182	0.33333	0.22483	na	0.4	0.84211	0.12231	12	0	0	3.3824	3.1474	5.0632	-0.10771	-0.088694	0.35	0.55	
-0.67494	-5.9862	-0.20442	-0.40066	-0.12411	-0.37279	1.5789	0.034483	0.066667	0.091179	na	0.8	0.97368	0.10138	30	0	0	8.4561	7	5.4211	-0.26687	0.02924	0.15	0.15	
1.0947	0.17921	0.93633	1.1437	1.0366	1.2831	-0.31579	0.26087	0.41667	0.41553	na	0.55	0.91579	0.1753	24	0	0	6.7649	8.6842	9	0.43972	-0.0073099	0.2	0.2	
-0.61407	-1.4367	-0.66718	-0.7564	-0.86934	-0.95171	0.67368	0.076923	0.14286	0.18471	na	0.45	0.86842	0.10622	14	0	0	3.9462	3.2842	2.6105	-0.25998	0.026734	0.3	0.3	
0.46778	-2.4581	0.3294	0.42873	0.29749	0.42209	-1.4105	0.16667	0.23077	0.32188	na	0.55	0.91579	0.15011	13	0	0	3.6643	4.1368	5.5474	0.19986	-0.060279	0.25	0.25	
-0.51904	-1.3239	0.68379	0.38484	0.72138	0.39378	1.2737	0.058824	0.11111	0.23673	na	0.5	0.83158	0.11488	18	0	0	5.0737	4.3737	3.1	-0.21382	0.039311	0.4	0.4	
-1.5057	-0.58748	-0.76454	-1.1339	-0.96339	-1.3566	-0.11579	0.3	0.36364	0.39851	na	0.3	0.62105	0.081301	11	0	0	3.1006	1.7842	1.9	-0.65799	-0.005848	0.6	0.8	
0.28428	-2.346	0.417	0.43917	0.4005	0.43897	2.4	0.15385	0.28571	0.27407	na	0.55	0.92632	0.14345	14	0	0	3.9462	4.2526	1.8526	0.12036	0.095238	0.2	0.2	
1.4838	1.7674	1.098	1.4037	1.1931	1.5457	1.1684	0.33333	0.38462	0.54119	na	0.35	0.80526	0.19546	13	0	0	3.6643	5.1632	3.9947	0.63395	0.049933	0.4	0.6	
-0.75626	-1.2358	-0.68651	-0.81796	-0.85791	-0.98946	1.0105	0.125	0.22222	0.20358	na	0.35	0.76316	0.098336	9	0	0	2.5368	1.9789	0.96842	-0.34083	0.062378	0.45	0.65	
-0.62831	-1.4445	0.68379	0.34762	0.72138	0.35153	-1.9684	0.17647	0.27778	0.28092	na	0.5	0.8	0.11224	18	0	0	5.0737	4.2263	6.1947	-0.25884	-0.060754	0.45	0.55	
0.044429	-2.3212	0.83594	0.70266	0.89433	0.75635	2.1368	0.21429	0.4	0.33849	na	0.55	0.93158	0.13743	15	0	0	4.228	4.2789	2.1421	0.018659	0.079142	0.2	0.35	
-0.77745	-4.0952	-1.2078	-1.2564	-1.046	-1.1588	-0.45263	0.083333	0.15385	0.11119	na	0.55	0.90526	0.094664	13	0	0	3.6643	2.8789	3.3316	-0.33217	-0.019343	0.25	0.35	
-0.12589	-3.5414	0.21631	0.13344	0.16373	0.082947	0.38947	0.033333	0.064516	0.13087	na	0.75	0.96842	0.12618	31	0	0	8.738	8.4579	8.0684	-0.049675	0.0069798	0.15	0.15	
-0.53855	-1.345	0.099526	-0.10169	0.025622	-0.18708	2.5895	0.11765	0.16667	0.18705	na	0.5	0.91053	0.11504	18	0	0	5.0737	4.3474	1.7579	-0.22186	0.079922	0.25	0.25	
-0.107	-3.6135	-0.1702	-0.17612	-0.27158	-0.2654	1.6526	0	0	0.053642	na	0.5	0.91053	0.12628	9	0	0	2.5368	2.4579	0.80526	-0.048222	0.10201	0.2	0.25	
0.67618	-0.50835	0.71369	0.81537	0.7453	0.87153	1.5368	0.083333	0.15385	0.30992	na	0.45	0.83158	0.16117	13	0	0	3.6643	4.3474	2.8105	0.28891	0.065677	0.35	0.35	
-0.67639	-2.2176	-1.3358	-1.3273	-1.7167	-1.6751	0.63158	0.043478	0.083333	0.11324	na	0.6	0.92105	0.10125	24	0	0	6.7649	5.5789	4.9474	-0.2717	0.01462	0.25	0.35	
