mlcoalsim version 094beta (20060305)
OUTPUT FILE: date Fri Mar 17 14:53:29 2006 

Input data from the file: /Users/user/Documents/WorkatUB/Stephan/FSall/S20/WallHudson_method/other_alternatives/expansion/R00/theta_avg/L1n20thetaS20D1m0x010R00

Print_neuttest:        1
Print_matrixpol:       0
N_iterations:          10000
Seed1:                 974

N_loci:                1
N_sites:               1000
N_samples:             20
Thetaw:                33.84
Recombination:         0
Nintn:                 1
Ts:                    0
Nrec:                  1
Npast:                 0.1
Tpast:                 0.025


Neutral tests (excluding multiple hits positions)
value(TD)	value(Fs)	value(FD*)	value(FF*)	value(FD)	value(FF)	value(H)	value(B)	value(Q)	value(ZA)	value(Fst)	value(Kw)	value(Hw)	value(R2)	value(S)	value(pi_w)	value(pi_b)	value(ThetaWatt)	value(ThetaTaj)	value(ThetaFW*)	value(D/Dmin)	value(H/Hmin)	value(maxhap)	value(maxhap1)
-1.9422	-3.1597	-1.8806	-2.2092	-2.3828	-2.7232	-1.9263	0.16667	0.28	0.21157	na	0.55	0.88421	0.0603	25	0	0	7.0467	3.5105	5.4368	-0.77775	-0.042807	0.3	0.5	
0.96842	0.11836	-0.062707	0.28557	-0.18305	0.24679	2.8105	0.26316	0.28205	0.36562	na	0.65	0.93158	0.16137	39	0	0	10.993	13.668	10.858	0.37721	0.040036	0.25	0.25	
-0.95306	-6.5736	-1.3206	-1.4103	-1.7214	-1.7894	4.1684	0	0	0.040802	na	0.8	0.97895	0.088318	30	0	0	8.4561	6.4	2.2316	-0.37684	0.077193	0.1	0.15	
-0.32607	-5.3546	-1.1346	-1.0413	-1.4932	-1.3509	3.1895	0.10345	0.13333	0.14777	na	0.8	0.97368	0.10781	30	0	0	8.4561	7.7526	4.5632	-0.12893	0.059064	0.15	0.2	
-1.6296	-7.1629	-2.1128	-2.289	-2.5625	-2.7371	0.8	0	0	0.031233	na	0.6	0.93158	0.064036	14	0	0	3.9462	2.1895	1.3895	-0.68994	0.031746	0.2	0.35	
-1.6776	-6.8059	-2.2508	-2.4221	-2.8622	-3.0127	3.8842	0.034483	0.066667	0.064329	na	0.75	0.95789	0.059815	30	0	0	8.4561	4.8368	0.95263	-0.66334	0.07193	0.2	0.3	
0.30682	-1.1134	-0.1702	-0.039007	-0.27158	-0.11595	1	0.125	0.22222	0.23284	na	0.4	0.87368	0.14248	9	0	0	2.5368	2.7632	1.7632	0.13827	0.061728	0.25	0.35	
-0.98513	-1.8922	-1.39	-1.4765	-1.7159	-1.7928	0.50526	0	0	0.035739	na	0.45	0.82632	0.091081	14	0	0	3.9462	2.8842	2.3789	-0.41708	0.02005	0.4	0.5	
-0.57491	-1.9299	-0.78497	-0.84101	-1.0521	-1.0902	2.5263	0.125	0.2	0.1808	na	0.6	0.9	0.10237	25	0	0	7.0467	6	3.4737	-0.23022	0.05614	0.3	0.45	
-0.25642	-4.2393	-1.127	-1.0112	-1.4778	-1.3111	3.4842	0.037037	0.071429	0.10666	na	0.75	0.92105	0.10968	28	0	0	7.8923	7.3737	3.8895	-0.10185	0.069131	0.3	0.35	
-1.5861	-6.1579	-1.6177	-1.8697	-2.034	-2.2916	1.3053	0.052632	0.1	0.11894	na	0.65	0.91053	0.067564	20	0	0	5.6374	3.2842	1.9789	-0.64694	0.036257	0.3	0.35	
-0.48892	-2.9776	-0.65875	-0.70767	-0.88105	-0.91517	2.5895	0	0	0.057488	na	0.6	0.93684	0.10877	19	0	0	5.3555	4.6632	2.0737	-0.20036	0.075716	0.2	0.3	
-1.4118	-3.3431	-1.893	-2.0349	-2.3168	-2.4525	1.6421	0	0	0.026146	na	0.5	0.8	0.084287	15	0	0	4.228	2.6105	0.96842	-0.59292	0.060819	0.45	0.55	
0.11029	-1.0897	-0.90679	-0.70481	-1.2031	-0.94113	2.4421	0.08	0.15385	0.20139	na	0.6	0.94211	0.12917	26	0	0	7.3286	7.5368	5.0947	0.044037	0.052182	0.2	0.3	
-0.9949	-2.9287	-0.30579	-0.58749	-0.44606	-0.74514	2.3789	0	0	0.015387	na	0.5	0.93158	0.098356	14	0	0	3.9462	2.8737	0.49474	-0.42122	0.094403	0.15	0.25	
-1.64	-7.0946	-2.1782	-2.351	-1.4185	-1.828	-12.463	0.13333	0.15217	0.16936	na	0.85	0.97895	0.097106	46	0	0	12.966	7.6632	20.126	-0.63386	-0.15052	0.15	0.2	
-0.84086	-1.3603	-0.78497	-0.93252	-1.0521	-1.1958	-2.4421	0.16667	0.24	0.24653	na	0.55	0.87368	0.097343	25	0	0	7.0467	5.5158	7.9579	-0.33671	-0.054269	0.35	0.45	
-1.139	-3.5125	-1.2189	-1.3898	-1.5612	-1.7289	1.6737	0.2	0.33333	0.23536	na	0.6	0.92105	0.082164	21	0	0	5.9193	4.1526	2.4789	-0.46256	0.044277	0.25	0.3	
-1.3107	-2.0968	-1.2108	-1.4395	-1.5141	-1.7503	-1.4947	0.071429	0.13333	0.10976	na	0.45	0.79474	0.083471	15	0	0	4.228	2.7263	4.2211	-0.55048	-0.055361	0.45	0.55	
-0.53723	-5.5713	-0.93758	-0.95307	-1.2142	-1.2082	2.9789	0	0	0.063552	na	0.7	0.95263	0.10206	19	0	0	5.3555	4.5947	1.6158	-0.22017	0.087104	0.15	0.2	
-0.63156	-1.7211	-1.2078	-1.2073	-1.4938	-1.4754	2.1579	0	0	0.04261	na	0.45	0.87368	0.10264	13	0	0	3.6643	3.0263	0.86842	-0.26984	0.092218	0.25	0.35	
0.021202	-3.2107	-0.088678	-0.065207	-0.21162	-0.16414	1.8211	0.12903	0.15625	0.18487	na	0.75	0.97368	0.1278	32	0	0	9.0198	9.0684	7.2474	0.0083496	0.031615	0.1	0.15	
0.17834	-1.056	-0.72771	-0.53777	-0.95059	-0.71679	0.18947	0.2	0.25	0.24103	na	0.5	0.86316	0.13081	16	0	0	4.5099	4.7263	4.5368	0.074367	0.0065789	0.3	0.4	
-0.49562	-4.4331	-0.48474	-0.56695	-0.67014	-0.7438	2.3895	0.058824	0.11111	0.12628	na	0.65	0.95263	0.10628	18	0	0	5.0737	4.4053	2.0158	-0.20417	0.073749	0.15	0.25	
0.24441	-1.9299	-0.28426	-0.14975	-0.4356	-0.26292	2.1053	0	0	0.1032	na	0.6	0.92632	0.13463	20	0	0	5.6374	6	3.8947	0.099689	0.05848	0.25	0.3	
-0.24498	-2.6522	-0.18742	-0.23707	-0.30986	-0.34935	1.7895	0.14286	0.26667	0.22276	na	0.55	0.86842	0.11848	15	0	0	4.228	3.9474	2.1579	-0.10289	0.066277	0.35	0.4	
-1.0095	-5.4975	-0.66718	-0.88988	-0.86934	-1.1011	1.8211	0	0	0.058301	na	0.6	0.94737	0.089913	14	0	0	3.9462	2.8579	1.0368	-0.42742	0.072264	0.15	0.3	
-0.90735	-7.7796	-1.2232	-1.3145	-1.5844	-1.6583	3.7368	0.041667	0.08	0.070672	na	0.8	0.97895	0.087811	25	0	0	7.0467	5.3947	1.6579	-0.36334	0.083041	0.1	0.15	
-0.20312	-1.2006	0.62709	0.44624	0.65221	0.45987	0.53684	0.0625	0.11765	0.16726	na	0.5	0.91053	0.12622	17	0	0	4.7918	4.5316	3.9947	-0.08416	0.017544	0.2	0.3	
-1.0043	-4.3621	-2.1341	-2.095	-2.6238	-2.5506	2.1684	0	0	0.053642	na	0.6	0.92105	0.080409	17	0	0	4.7918	3.5053	1.3368	-0.41611	0.070863	0.2	0.25	
-1.0771	-8.9443	-1.3611	-1.4848	-1.7138	-1.8286	1.7684	0.058824	0.11111	0.089768	na	0.75	0.97368	0.079882	18	0	0	5.0737	3.6211	1.8526	-0.44372	0.054581	0.1	0.2	
-0.16229	0.07941	0.49482	0.35211	0.49293	0.34586	0.92632	0.14286	0.26667	0.22884	na	0.4	0.87895	0.12873	15	0	0	4.228	4.0421	3.1158	-0.068158	0.034308	0.25	0.45	
-1.0203	-2.5443	-0.59073	-0.82916	-0.76924	-1.0184	1.8947	0	0	0.068744	na	0.45	0.85789	0.091671	12	0	0	3.3824	2.4211	0.52632	-0.44051	0.087719	0.35	0.4	
-1.9966	-5.6234	-2.3606	-2.6162	-2.8372	-3.1012	1.5053	0.16667	0.30769	0.17109	na	0.5	0.75789	0.057295	13	0	0	3.6643	1.6474	0.14211	-0.85308	0.064327	0.5	0.55	
-0.26883	-0.62472	-0.060445	-0.14212	-0.17292	-0.2486	3.5368	0.08	0.15385	0.14017	na	0.55	0.92105	0.11857	26	0	0	7.3286	6.8211	3.2842	-0.10734	0.075574	0.2	0.25	
-1.536	-9.1312	-1.9856	-2.1548	-2.483	-2.6419	2.6526	0	0	0.095988	na	0.75	0.97368	0.063021	21	0	0	5.9193	3.5368	0.88421	-0.62379	0.070175	0.1	0.2	
